$GATE WITHDRAWAL AT SEG317                                   ELEV OF WITHDRAWAL CENTERLINE:316.     

JDAY,      N2,      DO,
     1.000,   20.0000,   11.9000,
     1.050,   19.9999,   11.9000,
     1.100,   19.9998,   11.9001,
     1.150,   19.9997,   11.9002,
     1.200,   19.9997,   11.9003,
     1.250,   19.9996,   11.9003,
     1.300,   19.9995,   11.9004,
     1.350,   19.9994,   11.9004,
     1.400,   19.9993,   11.9005,
     1.450,   19.9992,   11.9006,
     1.500,   19.9991,   11.9007,
     1.550,   19.9990,   11.9007,
     1.600,   19.9989,   11.9008,
     1.650,   19.9988,   11.9008,
     1.701,   19.9987,   11.9009,
     1.750,   19.9986,   11.9009,
     1.800,   19.9985,   11.9010,
     1.850,   19.9984,   11.9011,
     1.900,   19.9984,   11.9011,
     1.950,   19.9983,   11.9012,
     2.000,   19.9982,   11.9012,
     2.050,   19.9981,   11.9013,
     2.100,   19.9980,   11.9014,
     2.150,   19.9979,   11.9014,
     2.200,   19.9978,   11.9015,
     2.250,   19.9977,   11.9017,
     2.300,   19.9976,   11.9017,
     2.350,   19.9975,   11.9018,
     2.401,   19.9974,   11.9019,
     2.450,   19.9972,   11.9020,
     2.500,   19.9971,   11.9022,
     2.550,   19.9970,   11.9023,
     2.600,   19.9969,   11.9024,
     2.650,   19.9968,   11.9025,
     2.700,   19.9966,   11.9026,
     2.750,   19.9965,   11.9027,
     2.800,   19.9964,   11.9028,
     2.850,   19.9963,   11.9029,
     2.900,   19.9962,   11.9031,
     2.950,   19.9961,   11.9032,
     3.000,   19.9960,   11.9033,
     3.050,   19.9959,   11.9033,
     3.100,   19.9958,   11.9034,
     3.150,   19.9957,   11.9035,
     3.200,   19.9956,   11.9036,
     3.250,   19.9972,   11.9056,
     3.300,   20.0104,   11.9202,
     3.350,   20.0280,   11.9395,
     3.400,   20.0420,   11.9549,
     3.450,   20.0532,   11.9672,
     3.500,   20.0623,   11.9774,
     3.550,   20.0589,   11.9738,
     3.600,   20.0480,   11.9622,
     3.650,   20.0397,   11.9533,
     3.700,   20.0334,   11.9466,
     3.750,   20.0360,   11.9496,
     3.800,   20.0475,   11.9622,
     3.850,   20.0563,   11.9720,
     3.900,   20.0626,   11.9790,
     3.950,   20.0617,   11.9782,
     4.000,   20.0514,   11.9671,
     4.050,   20.0435,   11.9587,
     4.100,   20.0369,   11.9516,
     4.150,   20.0314,   11.9458,
     4.200,   20.0279,   11.9421,
     4.250,   20.0349,   11.9498,
     4.300,   20.0486,   11.9649,
     4.350,   20.0578,   11.9751,
     4.400,   20.0650,   11.9831,
     4.450,   20.0638,   11.9820,
     4.500,   20.0501,   11.9672,
     4.550,   20.0391,   11.9555,
     4.600,   20.0308,   11.9466,
     4.650,   20.0241,   11.9394,
     4.700,   20.0181,   11.9332,
