JDAY,DLT(s),ELWS(m),T2(C),U(ms-1),Q(m3s-1),SRON(Wm-2),EXT(m-1),DEPTH(m),WIDTH(m),SHADE,Tvolavg(C),NetRad(Wm-2),SWSolar(Wm-2),LWRad(Wm-2),BackRad(Wm-2),EvapF(Wm-2),ConducF(Wm-2),      N2,      DO,     EPI,     %DO,  TDG(%),NH4AR   (kg/d),NH4AG   (kg/d),NH4AP   (kg/d),NH4ER   (kg/d),NH4EG   (kg/d),NH4EP   (kg/d),NH4POM  (kg/d),NH4DOM  (kg/d),NH4OM   (kg/d),NH4SED  (kg/d),NH4SOD  (kg/d),APLIM,APLIM,APLIM,ANLIM,ANLIM,ANLIM,ALLIM,ALLIM,ALLIM,
     1.000,    31.486,   391.550,     4.999,     0.000,     0.057,     0.000,     0.250,    92.550,   993.160,     0.000,     5.000,  -237.608,     0.000,   195.155,   329.813,    40.156,    62.793,    20.000,    11.900,     0.000,    97.644,   100.447, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     1.500,    42.361,   391.598,     4.971,     0.073,  3357.040,   327.389,     0.250,    92.598,   993.160,     1.000,     4.965,   103.081,   308.857,   205.508,   329.673,    37.546,    44.066,    19.998,    11.901,     0.000,    97.583,   100.411, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     2.000,    44.678,   391.577,     4.939,     0.040,  1324.827,     0.000,     0.250,    92.577,   993.160,     0.000,     4.939,  -218.564,     0.000,   200.736,   329.522,    37.668,    52.110,    19.998,    11.901,     0.000,    97.501,   100.337, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     2.500,    44.283,   391.553,     4.908,     0.070,  3461.202,   346.039,     0.250,    92.553,   993.160,     1.000,     4.903,   138.225,   326.452,   211.805,   329.377,    35.255,    35.399,    19.997,    11.903,     0.000,    97.439,   100.307, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     3.000,    43.719,   391.403,     4.871,     0.059,  2308.136,     0.000,     0.250,    92.403,   993.160,     0.000,     4.871,  -212.837,     0.000,   201.721,   329.202,    35.310,    50.046,    19.996,    11.903,     0.000,    97.344,   100.205, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     3.500,    43.249,   391.309,     4.829,     0.065,  3319.924,   122.314,     0.250,    92.309,   993.160,     1.000,     4.829,   -46.160,   115.390,   233.420,   329.003,    32.073,    33.895,    19.995,    11.904,     0.000,    97.246,   100.153, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     4.000,    44.866,   391.129,     4.795,     0.074,  2775.324,     0.000,     0.250,    92.129,   993.160,     0.000,     4.795,  -161.629,     0.000,   237.130,   328.842,    34.153,    35.764,    19.994,    11.905,     0.000,    97.169,   100.084, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     4.500,    41.017,   390.999,     4.762,     0.081,  3969.048,   134.423,     0.250,    91.999,   986.150,     1.000,     4.762,   -16.951,   126.814,   238.533,   328.687,    29.596,    24.014,    19.993,    11.906,     0.000,    97.098,   100.024, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     5.000,    43.032,   390.831,     4.728,     0.053,  1861.765,     0.000,     0.250,    91.831,   986.150,     0.000,     4.728,  -181.667,     0.000,   211.213,   328.526,    29.793,    34.562,    19.992,    11.908,     0.000,    97.025,    99.947, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     5.500,    39.677,   390.750,     4.689,     0.079,  3869.760,    64.296,     0.250,    91.750,   986.150,     1.000,     4.689,   -71.013,    60.656,   252.588,   328.338,    26.812,    29.106,    19.992,    11.909,     0.000,    96.938,    99.909, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
