JDAY,DLT(s),ELWS(m),T2(C),U(ms-1),Q(m3s-1),SRON(Wm-2),EXT(m-1),DEPTH(m),WIDTH(m),SHADE,Tvolavg(C),NetRad(Wm-2),SWSolar(Wm-2),LWRad(Wm-2),BackRad(Wm-2),EvapF(Wm-2),ConducF(Wm-2),      N2,      DO,     EPI,     %DO,  TDG(%),NH4AR   (kg/d),NH4AG   (kg/d),NH4AP   (kg/d),NH4ER   (kg/d),NH4EG   (kg/d),NH4EP   (kg/d),NH4POM  (kg/d),NH4DOM  (kg/d),NH4OM   (kg/d),NH4SED  (kg/d),NH4SOD  (kg/d),APLIM,APLIM,APLIM,ANLIM,ANLIM,ANLIM,ALLIM,ALLIM,ALLIM,
     1.000,    31.486,   391.553,     4.994,     0.002,     1.048,     0.000,     0.250,     8.553,   220.590,     0.000,     4.994,  -251.921,     0.000,   192.181,   329.813,    43.379,    70.911,    20.000,    11.901,     0.000,    97.630,   100.407, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     1.500,    42.361,   391.535,     1.019,     0.024,    12.210,   151.532,     0.250,     8.535,   220.590,     1.000,     1.090,   -22.254,   142.955,   215.100,   311.331,    28.334,    40.644,    20.317,    12.580,     0.000,    92.751,    93.944, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     2.000,    44.678,   391.584,     0.742,     0.022,    11.985,     0.000,     0.250,     8.584,   220.590,     0.000,     0.834,  -181.941,     0.000,   196.987,   310.076,    25.865,    42.988,    20.352,    12.621,     0.000,    92.336,    93.539, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     2.500,    44.283,   391.536,     0.912,     0.024,    13.192,   300.231,     0.250,     8.536,   220.590,     1.000,     0.942,   136.630,   283.237,   210.181,   310.841,    23.764,    22.183,    20.351,    12.622,     0.000,    92.783,    93.943, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     3.000,    43.719,   391.411,     0.885,     0.022,    11.640,     0.000,     0.250,     8.411,   220.590,     0.000,     0.943,  -151.761,     0.000,   206.783,   310.725,    21.012,    26.807,    20.357,    12.628,     0.000,    92.759,    93.949, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     3.500,    43.249,   391.272,     0.978,     0.025,    12.667,    78.852,     0.250,     8.272,   220.590,     1.000,     1.019,   -31.187,    74.389,   246.396,   311.146,    20.363,    20.463,    20.355,    12.627,     0.000,    92.999,    94.142, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     4.000,    44.866,   391.098,     0.941,     0.027,    13.208,     0.000,     0.250,     8.098,   220.590,     0.000,     1.016,  -142.955,     0.000,   209.856,   310.980,    19.435,    22.395,    20.358,    12.631,     0.000,    92.933,    94.104, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     4.500,    41.017,   390.987,     1.079,     0.028,    12.837,    80.869,     0.250,     7.987,   138.550,     1.000,     1.122,   -18.826,    76.291,   250.159,   311.604,    18.189,    15.483,    20.357,    12.632,     0.000,    93.295,    94.415, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     5.000,    43.032,   390.826,     1.129,     0.028,    11.948,     0.000,     0.250,     7.826,   138.550,     0.000,     1.181,  -129.705,     0.000,   214.480,   311.833,    15.932,    16.421,    20.343,    12.623,     0.000,    93.360,    94.495, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     5.500,    39.677,   390.742,     1.209,     0.029,    12.523,    26.290,     0.250,     7.742,   138.550,     1.000,     1.245,   -72.623,    24.802,   248.975,   312.195,    14.986,    19.218,    20.345,    12.626,     0.000,    93.587,    94.691, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
