JDAY,DLT(s),ELWS(m),T2(C),U(ms-1),Q(m3s-1),SRON(Wm-2),EXT(m-1),DEPTH(m),WIDTH(m),SHADE,Tvolavg(C),NetRad(Wm-2),SWSolar(Wm-2),LWRad(Wm-2),BackRad(Wm-2),EvapF(Wm-2),ConducF(Wm-2),      N2,      DO,     EPI,     %DO,  TDG(%),NH4AR   (kg/d),NH4AG   (kg/d),NH4AP   (kg/d),NH4ER   (kg/d),NH4EG   (kg/d),NH4EP   (kg/d),NH4POM  (kg/d),NH4DOM  (kg/d),NH4OM   (kg/d),NH4SED  (kg/d),NH4SOD  (kg/d),APLIM,APLIM,APLIM,ANLIM,ANLIM,ANLIM,ALLIM,ALLIM,ALLIM,
     1.000,    31.486,   391.550,     4.999,     0.000,     0.114,     0.000,     0.250,    74.550,  1824.170,     0.000,     5.000,  -237.608,     0.000,   195.155,   329.813,    40.156,    62.793,    20.000,    11.900,     0.000,    97.644,   100.447, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     1.500,    42.361,   391.570,     4.957,     0.053,  2996.145,   327.389,     0.250,    74.570,  1824.170,     1.000,     4.952,   103.252,   308.857,   205.508,   329.606,    37.494,    44.013,    19.998,    11.902,     0.000,    97.552,   100.379, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     2.000,    44.678,   391.580,     4.914,     0.037,  1547.650,     0.000,     0.250,    74.580,  1824.170,     0.000,     4.914,  -218.261,     0.000,   200.736,   329.404,    37.577,    52.016,    19.998,    11.902,     0.000,    97.448,   100.280, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     2.500,    44.283,   391.544,     4.874,     0.056,  3127.316,   346.039,     0.250,    74.544,  1824.170,     1.000,     4.869,   138.645,   326.452,   211.805,   329.217,    35.128,    35.267,    19.996,    11.904,     0.000,    97.366,   100.230, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     3.000,    43.719,   391.408,     4.843,     0.036,  1589.884,     0.000,     0.250,    74.408,  1824.170,     0.000,     4.843,  -212.493,     0.000,   201.721,   329.068,    35.207,    49.939,    19.995,    11.905,     0.000,    97.289,   100.141, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     3.500,    43.249,   391.297,     4.801,     0.046,  2711.920,   122.314,     0.250,    74.297,  1824.170,     1.000,     4.801,   -45.822,   115.390,   233.420,   328.871,    31.972,    33.789,    19.994,    11.906,     0.000,    97.194,   100.091, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     4.000,    44.866,   391.115,     4.766,     0.038,  2773.527,     0.000,     0.250,    74.115,  1824.170,     0.000,     4.766,  -161.260,     0.000,   237.130,   328.706,    34.038,    35.645,    19.994,    11.907,     0.000,    97.119,   100.021, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     4.500,    41.017,   390.993,     4.723,     0.045,  3215.389,   134.423,     0.250,    73.993,  1804.810,     1.000,     4.723,   -16.471,   126.814,   238.533,   328.500,    29.453,    23.865,    19.993,    11.909,     0.000,    97.024,    99.937, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     5.000,    43.032,   390.828,     4.683,     0.017,  1719.271,     0.000,     0.250,    73.828,  1804.810,     0.000,     4.683,  -181.114,     0.000,   211.213,   328.310,    29.628,    34.389,    19.992,    11.911,     0.000,    96.940,    99.847, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     5.500,    39.677,   390.747,     4.633,     0.061,  2909.614,    64.296,     0.250,    73.747,  1804.810,     1.000,     4.633,   -70.319,    60.656,   252.588,   328.074,    26.603,    28.886,    19.991,    11.913,     0.000,    96.829,    99.787, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     6.000,    39.859,   390.598,     4.593,     0.034,  1370.348,     0.000,     0.250,    73.598,  1804.810,     0.000,     4.593,  -116.014,     0.000,   257.393,   327.886,    22.703,    22.818,    19.990,    11.915,     0.000,    96.746,    99.741, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     6.500,    40.007,   390.571,     4.548,     0.058,  2652.043,    70.232,     0.250,    73.571,  1804.810,     1.000,     4.548,   -32.765,    66.257,   264.090,   327.674,    18.989,    16.449,    19.990,    11.918,     0.000,    96.654,    99.700, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     7.000,    33.335,   390.476,     4.501,     0.040,  1597.928,     0.000,     0.250,    73.476,  1804.810,     0.000,     4.501,   -89.809,     0.000,   265.888,   327.451,    14.526,    13.720,    19.990,    11.921,     0.000,    96.560,    99.645, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
