JDAY,DLT(s),ELWS(m),T2(C),U(ms-1),Q(m3s-1),SRON(Wm-2),EXT(m-1),DEPTH(m),WIDTH(m),SHADE,Tvolavg(C),NetRad(Wm-2),SWSolar(Wm-2),LWRad(Wm-2),BackRad(Wm-2),EvapF(Wm-2),ConducF(Wm-2),      N2,      DO,     EPI,     %DO,  TDG(%),NH4AR   (kg/d),NH4AG   (kg/d),NH4AP   (kg/d),NH4ER   (kg/d),NH4EG   (kg/d),NH4EP   (kg/d),NH4POM  (kg/d),NH4DOM  (kg/d),NH4OM   (kg/d),NH4SED  (kg/d),NH4SOD  (kg/d),APLIM,APLIM,APLIM,ANLIM,ANLIM,ANLIM,ALLIM,ALLIM,ALLIM,
     1.000,    31.486,   391.550,     4.999,     0.000,     0.099,     0.000,     0.250,    22.550,   633.890,     0.000,     5.000,  -251.921,     0.000,   192.181,   329.813,    43.379,    70.911,    20.000,    11.900,     0.000,    97.644,   100.420, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     1.500,    42.361,   391.560,     4.833,     0.375,  2621.837,   151.532,     0.250,    22.560,   633.890,     1.000,     4.833,   -67.943,   142.955,   215.100,   329.024,    41.244,    55.729,    19.997,    11.903,     0.000,    97.254,   100.067, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     2.000,    44.678,   391.633,     3.688,     0.325,  2291.356,     0.000,     0.250,    22.633,   633.890,     0.000,     3.775,  -215.729,     0.000,   196.987,   323.639,    34.963,    54.114,    20.224,    12.307,     0.000,    97.586,    99.071, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     2.500,    44.283,   391.576,     3.275,     0.359,  2507.261,   300.231,     0.250,    22.576,   633.890,     1.000,     3.306,   109.175,   283.237,   210.181,   321.706,    31.194,    31.343,    20.278,    12.313,     0.000,    96.563,    98.398, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     3.000,    43.719,   391.438,     3.792,     0.328,  2273.788,     0.000,     0.250,    22.438,   633.890,     0.000,     3.858,  -185.305,     0.000,   206.783,   324.121,    30.115,    37.853,    20.277,    12.307,     0.000,    97.853,    99.581, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     3.500,    43.249,   391.302,     2.841,     0.348,  2377.141,    78.852,     0.250,    22.302,   633.890,     1.000,     2.888,   -52.455,    74.389,   246.396,   319.694,    26.022,    27.524,    20.246,    12.320,     0.000,    95.503,    97.363, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     4.000,    44.866,   391.141,     3.655,     0.357,  2411.883,     0.000,     0.250,    22.141,   633.890,     0.000,     3.739,  -174.294,     0.000,   209.856,   323.486,    27.931,    32.732,    20.203,    12.309,     0.000,    97.510,    99.026, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     4.500,    41.017,   391.024,     2.823,     0.365,  2443.191,    80.869,     0.250,    22.024,   633.890,     1.000,     2.864,   -38.711,    76.291,   250.159,   319.608,    23.482,    22.071,    20.218,    12.320,     0.000,    95.452,    97.241, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     5.000,    43.032,   390.859,     3.693,     0.350,  2307.768,     0.000,     0.250,    21.859,   619.150,     0.000,     3.775,  -159.219,     0.000,   214.480,   323.656,    23.943,    26.100,    20.202,    12.309,     0.000,    97.606,    99.157, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     5.500,    39.677,   390.780,     2.800,     0.363,  2376.956,    26.290,     0.250,    21.780,   619.150,     1.000,     2.858,   -90.900,    24.802,   248.975,   319.503,    19.882,    25.291,    20.217,    12.320,     0.000,    95.392,    97.245, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     6.000,    39.859,   390.608,     3.498,     0.350,  2265.827,     0.000,     0.250,    21.608,   619.150,     0.000,     3.607,  -113.749,     0.000,   249.288,   322.751,    18.748,    21.538,    20.374,    12.312,     0.000,    97.128,    99.467, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     6.500,    40.007,   390.572,     2.664,     0.369,  2376.601,    12.119,     0.250,    21.572,   619.150,     1.000,     2.709,   -74.053,    11.433,   259.072,   318.874,    12.253,    13.432,    20.722,    12.322,     0.000,    95.062,    98.958, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     7.000,    33.335,   390.529,     3.582,     0.352,  2263.125,     0.000,     0.250,    21.529,   619.150,     0.000,     3.669,   -92.595,     0.000,   258.338,   323.144,    12.496,    15.293,    20.753,    12.311,     0.000,    97.341,   101.217, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     7.500,    32.849,   390.469,     2.674,     0.377,  2406.693,    18.140,     0.250,    21.469,   619.150,     1.000,     2.721,   -48.717,    17.113,   265.790,   318.921,     5.903,     6.796,    20.527,    12.323,     0.000,    95.094,    98.340, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     8.000,    33.856,   390.501,     3.494,     0.370,  2386.211,     0.000,     0.250,    21.501,   619.150,     0.000,     3.590,   -87.526,     0.000,   243.833,   322.739,     8.220,     0.400,    20.343,    12.330,     0.000,    97.259,    99.530, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     8.500,    33.525,   390.621,     2.682,     0.373,  2414.164,   186.001,     0.250,    21.621,   619.150,     1.000,     2.706,    72.363,   175.473,   237.844,   318.954,    15.115,     6.885,    20.281,    12.348,     0.000,    95.308,    97.328, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     9.000,    34.378,   390.695,     3.686,     0.348,  2262.164,     0.000,     0.250,    21.695,   619.150,     0.000,     3.792,  -189.297,     0.000,   204.369,   323.627,    28.357,    41.682,    20.150,    12.309,     0.000,    97.592,    98.888, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     9.500,    34.699,   390.804,     2.560,     0.390,  2555.211,   161.559,     0.250,    21.804,   619.150,     1.000,     2.611,    21.690,   152.414,   230.651,   318.390,    20.671,    22.314,    20.075,    12.323,     0.000,    94.798,    96.149, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
    10.000,    33.476,   390.790,     3.454,     0.347,  2275.143,     0.000,     0.250,    21.790,   619.150,     0.000,     3.549,  -190.796,     0.000,   203.945,   322.542,    30.230,    41.970,    20.040,    12.311,     0.000,    97.011,    97.904, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
    10.500,    32.372,   390.687,     2.776,     0.393,  2547.994,   329.713,     0.250,    21.687,   619.150,     1.000,     2.826,   135.869,   311.050,   207.787,   319.388,    30.423,    33.156,    20.102,    12.320,     0.000,    95.327,    96.613, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
    11.000,    32.588,   390.579,     3.137,     0.402,  2586.170,     0.000,     0.250,    21.579,   619.150,     0.000,     3.295,  -239.829,     0.000,   189.488,   321.067,    38.091,    70.159,    20.207,    12.315,     0.000,    96.225,    97.747, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
    11.500,    30.776,   390.511,     2.380,     0.419,  2678.969,   202.090,     0.250,    21.511,   619.150,     1.000,     2.411,     9.143,   190.651,   211.029,   317.561,    34.434,    40.542,    20.366,    12.323,     0.000,    94.341,    96.701, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
    12.000,    31.172,   390.409,     2.648,     0.418,  2645.395,     0.000,     0.250,    21.409,   619.150,     0.000,     2.773,  -173.704,     0.000,   205.514,   318.800,    24.979,    35.439,    20.613,    12.315,     0.000,    94.963,    98.325, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
    12.500,    31.034,   390.266,     2.342,     0.435,  2729.068,    36.410,     0.250,    21.266,   619.150,     1.000,     2.395,   -88.832,    34.349,   245.269,   317.386,    22.391,    28.674,    20.911,    12.308,     0.000,    94.123,    98.772, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
    13.000,    30.591,   390.223,     2.319,     0.421,  2623.829,     0.000,     0.250,    21.223,   619.150,     0.000,     2.445,  -133.272,     0.000,   222.653,   317.282,    17.030,    21.613,    20.961,    12.300,     0.000,    94.003,    98.997, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
    13.500,    29.456,   390.245,     2.287,     0.439,  2749.598,    10.089,     0.250,    21.245,   619.150,     1.000,     2.333,   -78.848,     9.518,   256.388,   317.134,    12.888,    14.732,    20.913,    12.290,     0.000,    93.845,    98.756, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
    14.000,    33.230,   390.310,     2.529,     0.430,  2709.030,     0.000,     0.250,    21.310,   619.150,     0.000,     2.591,   -99.493,     0.000,   242.639,   318.251,    11.045,    12.836,    20.931,    12.276,     0.000,    94.363,    99.388, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
    14.500,    33.169,   390.415,     2.485,     0.448,  2854.623,   127.030,     0.250,    21.415,   619.150,     1.000,     2.485,    88.515,   119.840,   272.697,   318.043,    -4.110,    -9.912,    20.981,    12.262,     0.000,    94.139,    99.660, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
    15.000,    33.520,   390.634,     2.551,     0.423,  2735.397,     0.000,     0.250,    21.634,   619.150,     0.000,     2.597,   -89.823,     0.000,   232.115,   318.349,     2.486,     1.102,    20.953,    12.259,     0.000,    94.285,    99.620, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
    15.500,    35.885,   390.863,     2.583,     0.418,  2762.880,   193.081,     0.250,    21.863,   619.150,     1.000,     2.596,    96.742,   182.151,   241.475,   318.499,     3.962,     4.424,    20.908,    12.247,     0.000,    94.278,    99.473, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
    16.000,    36.372,   390.982,     3.178,     0.390,  2603.934,     0.000,     0.250,    21.982,   619.150,     0.000,     3.242,  -101.030,     0.000,   230.405,   321.258,     4.867,     5.310,    20.850,    12.231,     0.000,    95.668,   100.603, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
    16.500,    41.158,   391.287,     2.564,     0.406,  2778.726,    64.439,     0.250,    22.287,   633.890,     1.000,     2.577,    15.020,    60.792,   272.963,   318.410,     0.409,    -0.084,    20.814,    12.227,     0.000,    94.073,    99.085, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
    17.000,    34.030,   391.591,     3.325,     0.378,  2649.200,     0.000,     0.250,    22.591,   633.890,     0.000,     3.424,   -96.986,     0.000,   232.377,   321.943,     3.675,     3.745,    20.816,    12.209,     0.000,    95.877,   100.849, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
    17.500,    35.688,   391.851,     2.698,     0.400,  2864.962,   208.062,     0.250,    22.851,   633.890,     1.000,     2.698,   127.327,   196.285,   246.238,   319.027,    -1.398,    -2.433,    20.874,    12.202,     0.000,    94.218,    99.614, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
    18.000,    36.288,   392.071,     3.103,     0.364,  2652.626,     0.000,     0.250,    23.071,   633.890,     0.000,     3.192,  -122.079,     0.000,   223.083,   320.916,    10.636,    13.609,    21.205,    12.192,     0.000,    95.174,   101.668, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
    18.500,    35.878,   392.203,     2.697,     0.406,  2987.210,   129.266,     0.250,    23.203,   633.890,     1.000,     2.702,    39.109,   121.949,   253.741,   319.022,     8.271,     9.289,    21.741,    12.184,     0.000,    94.080,   102.742, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
    19.000,    39.364,   392.226,     2.996,     0.422,  3101.453,     0.000,     0.250,    23.226,   633.890,     0.000,     3.102,  -166.314,     0.000,   208.842,   320.422,    22.729,    32.005,    21.739,    12.171,     0.000,    94.743,   103.241, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
