JDAY,DLT(s),ELWS(m),T2(C),U(ms-1),Q(m3s-1),SRON(Wm-2),EXT(m-1),DEPTH(m),WIDTH(m),SHADE,Tvolavg(C),NetRad(Wm-2),SWSolar(Wm-2),LWRad(Wm-2),BackRad(Wm-2),EvapF(Wm-2),ConducF(Wm-2),      N2,      DO,     EPI,     %DO,  TDG(%),NH4AR   (kg/d),NH4AG   (kg/d),NH4AP   (kg/d),NH4ER   (kg/d),NH4EG   (kg/d),NH4EP   (kg/d),NH4POM  (kg/d),NH4DOM  (kg/d),NH4OM   (kg/d),NH4SED  (kg/d),NH4SOD  (kg/d),APLIM,APLIM,APLIM,ANLIM,ANLIM,ANLIM,ALLIM,ALLIM,ALLIM,
     1.000,    31.486,   391.550,     4.999,     0.000,     0.251,     0.000,     0.250,    14.550,   259.570,     0.000,     5.000,  -251.921,     0.000,   192.181,   329.813,    43.379,    70.911,    20.000,    11.900,     0.000,    97.644,   100.419, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     1.500,    42.361,   391.541,     4.510,     0.009,     3.004,   151.532,     0.250,    14.541,   259.570,     0.100,     4.510,  -192.585,    14.295,   215.100,   327.499,    40.029,    54.453,    20.007,    11.932,     0.000,    96.676,    99.429, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     2.000,    44.678,   391.582,     3.557,     0.006,     3.073,     0.000,     0.250,    14.582,   259.570,     0.000,     3.854,  -214.178,     0.000,   196.987,   323.026,    34.521,    53.618,    20.067,    12.056,     0.000,    95.257,    97.752, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     2.500,    44.283,   391.535,     2.378,     0.013,     4.695,   300.231,     0.250,    14.535,   259.570,     0.100,     3.402,  -135.169,    28.324,   210.181,   317.555,    28.247,    27.871,    20.182,    12.260,     0.000,    93.852,    95.955, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     3.000,    43.719,   391.410,     2.210,     0.008,     3.086,     0.000,     0.250,    14.410,   259.570,     0.000,     3.110,  -166.800,     0.000,   206.783,   316.781,    24.958,    31.844,    20.214,    12.294,     0.000,    93.681,    95.795, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     3.500,    43.249,   391.275,     2.281,     0.014,     4.328,    78.852,     0.250,    14.275,   259.570,     0.100,     3.376,  -112.919,     7.439,   246.396,   317.105,    24.249,    25.400,    20.214,    12.312,     0.000,    93.997,    95.981, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     4.000,    44.866,   391.096,     2.326,     0.012,     4.763,     0.000,     0.250,    14.096,   259.570,     0.000,     3.428,  -158.715,     0.000,   209.856,   317.314,    23.588,    27.669,    20.205,    12.303,     0.000,    94.050,    96.053, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     4.500,    41.017,   390.987,     2.454,     0.013,     4.705,    80.869,     0.250,    13.987,   220.600,     0.100,     3.461,  -103.106,     7.629,   250.159,   317.903,    22.314,    20.678,    20.195,    12.279,     0.000,    94.190,    96.274, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     5.000,    43.032,   390.826,     2.306,     0.013,     3.544,     0.000,     0.250,    13.826,   220.600,     0.000,     3.425,  -143.048,     0.000,   214.480,   317.218,    19.448,    20.863,    20.212,    12.330,     0.000,    94.201,    96.128, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     5.500,    39.677,   390.741,     2.376,     0.015,     4.469,    26.290,     0.250,    13.741,   220.600,     0.100,     3.393,  -108.290,     2.480,   248.975,   317.543,    18.529,    23.673,    20.208,    12.315,     0.000,    94.266,    96.252, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     6.000,    39.859,   390.581,     2.212,     0.011,     3.268,     0.000,     0.250,    13.581,   220.600,     0.000,     3.170,   -98.830,     0.000,   249.288,   316.788,    14.631,    16.698,    20.249,    12.383,     0.000,    94.367,    96.206, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     6.500,    40.007,   390.540,     2.059,     0.011,     4.498,    12.119,     0.250,    13.540,   220.600,     0.100,     2.923,   -77.371,     1.143,   259.072,   316.085,    10.363,    11.139,    20.285,    12.438,     0.000,    94.391,    96.137, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     7.000,    33.335,   390.479,     1.877,     0.012,     3.825,     0.000,     0.250,    13.479,   220.600,     0.000,     2.707,   -72.852,     0.000,   258.338,   315.250,     7.073,     8.867,    20.327,    12.502,     0.000,    94.398,    96.033, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     7.500,    32.849,   390.436,     1.852,     0.015,     4.654,    18.140,     0.250,    13.436,   220.600,     0.100,     2.628,   -54.700,     1.711,   265.790,   315.132,     3.368,     3.702,    20.340,    12.524,     0.000,    94.501,    96.111, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     8.000,    33.856,   390.441,     2.234,    -0.019,     4.308,     0.000,     0.250,    13.441,   220.600,     0.000,     2.241,   -71.440,     0.000,   243.833,   316.889,     3.513,    -5.130,    20.363,    12.504,     0.000,    95.339,    97.030, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     8.500,    33.525,   390.570,     1.571,     0.019,     4.474,   186.001,     0.250,    13.570,   220.600,     0.100,     2.186,   -72.566,    17.547,   237.844,   313.848,    11.578,     2.530,    20.403,    12.607,     0.000,    94.395,    95.739, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     9.000,    34.378,   390.663,     1.774,     0.022,     3.199,     0.000,     0.250,    13.663,   220.600,     0.000,     2.573,  -166.925,     0.000,   204.369,   314.774,    22.169,    34.351,    20.348,    12.531,     0.000,    94.351,    95.718, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
