$GATE WITHDRAWAL AT SEG317                                   ELEV OF WITHDRAWAL CENTERLINE:347.     

JDAY,      N2,      DO,
     1.000,   20.0000,   11.9000,
     1.050,   19.9999,   11.9000,
     1.100,   19.9998,   11.9001,
     1.150,   19.9997,   11.9002,
     1.200,   19.9997,   11.9003,
     1.250,   19.9996,   11.9003,
     1.300,   19.9995,   11.9004,
     1.350,   19.9994,   11.9004,
     1.400,   19.9993,   11.9005,
     1.450,   19.9992,   11.9006,
     1.500,   19.9991,   11.9007,
     1.550,   19.9990,   11.9007,
     1.600,   19.9989,   11.9008,
     1.650,   19.9988,   11.9008,
     1.701,   19.9987,   11.9009,
     1.750,   19.9986,   11.9009,
     1.800,   19.9985,   11.9010,
     1.850,   19.9984,   11.9011,
     1.900,   19.9984,   11.9011,
     1.950,   19.9983,   11.9012,
     2.000,   19.9982,   11.9012,
     2.050,   19.9981,   11.9013,
     2.100,   19.9980,   11.9014,
     2.150,   19.9979,   11.9014,
     2.200,   19.9978,   11.9015,
     2.250,   19.9977,   11.9017,
     2.300,   19.9976,   11.9017,
     2.350,   19.9975,   11.9018,
     2.401,   19.9974,   11.9019,
     2.450,   19.9972,   11.9020,
     2.500,   19.9971,   11.9022,
     2.550,   19.9969,   11.9025,
     2.600,   19.9967,   11.9026,
     2.650,   19.9966,   11.9028,
     2.700,   19.9966,   11.9026,
     2.750,   19.9965,   11.9027,
     2.800,   19.9964,   11.9028,
     2.850,   19.9963,   11.9029,
     2.900,   19.9962,   11.9031,
     2.950,   19.9961,   11.9032,
     3.000,   19.9960,   11.9033,
     3.050,   19.9959,   11.9033,
     3.100,   19.9958,   11.9034,
     3.150,   19.9957,   11.9035,
     3.200,   19.9956,   11.9036,
     3.250,   19.9970,   11.9053,
     3.300,   20.0068,   11.9165,
     3.350,   20.0204,   11.9316,
     3.400,   20.0317,   11.9441,
     3.450,   20.0410,   11.9545,
     3.500,   20.0488,   11.9631,
     3.550,   20.0472,   11.9616,
     3.600,   20.0387,   11.9526,
     3.650,   20.0317,   11.9452,
     3.700,   20.0266,   11.9398,
     3.750,   20.0293,   11.9428,
     3.800,   20.0377,   11.9520,
     3.850,   20.0443,   11.9594,
     3.900,   20.0493,   11.9649,
     3.950,   20.0491,   11.9649,
     4.000,   20.0405,   11.9556,
     4.050,   20.0334,   11.9482,
     4.100,   20.0275,   11.9420,
     4.150,   20.0227,   11.9370,
     4.200,   20.0202,   11.9344,
     4.250,   20.0264,   11.9413,
     4.300,   20.0363,   11.9521,
     4.350,   20.0431,   11.9596,
     4.400,   20.0484,   11.9656,
     4.450,   20.0479,   11.9652,
     4.500,   20.0376,   11.9541,
     4.550,   20.0291,   11.9450,
     4.600,   20.0223,   11.9379,
     4.650,   20.0168,   11.9320,
     4.700,   20.0120,   11.9271,
