JDAY,DLT(s),ELWS(m),T2(C),U(ms-1),Q(m3s-1),SRON(Wm-2),EXT(m-1),DEPTH(m),WIDTH(m),SHADE,Tvolavg(C),NetRad(Wm-2),SWSolar(Wm-2),LWRad(Wm-2),BackRad(Wm-2),EvapF(Wm-2),ConducF(Wm-2),      N2,      DO,     EPI,     %DO,  TDG(%),NH4AR   (kg/d),NH4AG   (kg/d),NH4AP   (kg/d),NH4ER   (kg/d),NH4EG   (kg/d),NH4EP   (kg/d),NH4POM  (kg/d),NH4DOM  (kg/d),NH4OM   (kg/d),NH4SED  (kg/d),NH4SOD  (kg/d),APLIM,APLIM,APLIM,ANLIM,ANLIM,ANLIM,ALLIM,ALLIM,ALLIM,
     1.000,    31.486,   392.733,     4.999,     0.519,   396.421,     0.000,     0.250,    10.631,   172.120,     0.000,     5.000,  -251.921,     0.000,   192.181,   329.813,    43.379,    70.911,    20.000,    11.900,     0.000,     0.000,     0.000, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     1.500,    42.361,   394.962,     3.287,     2.267,  2483.801,   151.532,     0.250,    12.861,   192.180,     1.000,     3.288,   -48.958,   142.955,   215.100,   321.763,    35.637,    49.613,    20.246,    12.301,     0.000,    96.514,    98.250, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     2.000,    44.678,   394.872,     3.516,     2.261,  2425.453,     0.000,     0.250,    12.770,   192.180,     0.000,     3.520,  -213.707,     0.000,   196.987,   322.840,    34.387,    53.468,    20.296,    12.301,     0.000,    97.102,    98.979, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     2.500,    44.283,   394.852,     3.349,     2.228,  2399.188,   300.231,     0.250,    12.750,   192.180,     1.000,     3.353,   108.245,   283.237,   210.181,   322.069,    31.459,    31.645,    20.255,    12.301,     0.000,    96.675,    98.483, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     3.000,    43.719,   394.811,     3.116,     2.130,  2415.279,     0.000,     0.250,    12.710,   192.180,     0.000,     3.116,  -177.283,     0.000,   206.783,   320.954,    27.838,    35.273,    20.206,    12.301,     0.000,    96.076,    97.764, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     3.500,    43.249,   394.779,     3.088,     2.181,  2354.953,    78.852,     0.250,    12.677,   192.180,     1.000,     3.089,   -55.334,    74.389,   246.396,   320.838,    26.822,    28.458,    20.201,    12.301,     0.000,    96.005,    97.721, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     4.000,    44.866,   394.748,     3.514,     2.213,  2383.011,     0.000,     0.250,    12.646,   192.180,     0.000,     3.516,  -172.609,     0.000,   209.856,   322.823,    27.450,    32.192,    20.201,    12.301,     0.000,    97.099,    98.695, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     4.500,    41.017,   394.744,     2.990,     2.279,  2376.828,    80.869,     0.250,    12.642,   192.180,     1.000,     2.991,   -40.658,    76.291,   250.159,   320.384,    24.022,    22.703,    20.201,    12.302,     0.000,    95.754,    97.539, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     5.000,    43.032,   394.752,     3.175,     2.143,  2408.574,     0.000,     0.250,    12.650,   192.180,     0.000,     3.176,  -153.128,     0.000,   214.480,   321.242,    22.220,    24.146,    20.201,    12.301,     0.000,    96.228,    97.980, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     5.500,    39.677,   394.730,     2.885,     2.176,  2363.145,    26.290,     0.250,    12.628,   192.180,     1.000,     2.886,   -91.887,    24.802,   248.975,   319.894,    20.156,    25.613,    20.517,    12.302,     0.000,    95.483,    98.543, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
