JDAY,DLT(s),ELWS(m),T2(C),U(ms-1),Q(m3s-1),SRON(Wm-2),EXT(m-1),DEPTH(m),WIDTH(m),SHADE,Tvolavg(C),NetRad(Wm-2),SWSolar(Wm-2),LWRad(Wm-2),BackRad(Wm-2),EvapF(Wm-2),ConducF(Wm-2),      N2,      DO,     EPI,     %DO,  TDG(%),NH4AR   (kg/d),NH4AG   (kg/d),NH4AP   (kg/d),NH4ER   (kg/d),NH4EG   (kg/d),NH4EP   (kg/d),NH4POM  (kg/d),NH4DOM  (kg/d),NH4OM   (kg/d),NH4SED  (kg/d),NH4SOD  (kg/d),APLIM,APLIM,APLIM,ANLIM,ANLIM,ANLIM,ALLIM,ALLIM,ALLIM,
     1.000,    31.486,   391.551,     4.999,     0.001,     0.731,     0.000,     0.270,     6.700,   210.820,     0.000,     4.999,  -237.608,     0.000,   195.155,   329.813,    40.156,    62.793,    20.000,    11.900,     0.000,    97.644,   100.447, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     1.500,    42.361,   391.580,     1.030,     0.347,   230.117,   327.389,     0.270,     6.728,   210.820,     1.000,     1.030,   149.038,   308.857,   205.508,   311.383,    24.754,    29.190,    20.308,    12.588,     0.000,    92.840,    93.979, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     2.000,    44.678,   391.579,     1.002,     0.342,   228.388,     0.000,     0.270,     6.727,   210.820,     0.000,     1.005,  -172.600,     0.000,   200.736,   311.257,    24.874,    37.205,    20.311,    12.591,     0.000,    92.794,    93.933, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     2.500,    44.283,   391.552,     1.089,     0.347,   229.593,   346.039,     0.270,     6.700,   210.820,     1.000,     1.089,   183.571,   326.452,   211.805,   311.648,    22.489,    20.549,    20.312,    12.593,     0.000,    93.035,    94.169, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     3.000,    43.719,   391.453,     1.055,     0.359,   228.679,     0.000,     0.270,     6.601,   210.820,     0.000,     1.058,  -168.332,     0.000,   201.721,   311.496,    22.936,    35.621,    20.316,    12.597,     0.000,    92.975,    94.097, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     3.500,    43.249,   391.331,     1.119,     0.356,   218.444,   122.314,     0.270,     6.479,   210.820,     1.000,     1.120,    -2.771,   115.390,   233.420,   311.788,    19.984,    19.810,    20.318,    12.600,     0.000,    93.164,    94.290, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     4.000,    44.866,   391.145,     1.130,     0.372,   209.086,     0.000,     0.270,     6.293,   210.820,     0.000,     1.132,  -116.378,     0.000,   237.130,   311.836,    21.113,    20.559,    20.320,    12.603,     0.000,    93.216,    94.339, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     4.500,    41.017,   391.033,     1.182,     0.400,   211.246,   134.423,     0.270,     6.181,   210.820,     1.000,     1.182,    24.788,   126.814,   238.533,   312.074,    17.993,    10.492,    20.321,    12.605,     0.000,    93.366,    94.472, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     5.000,    43.032,   390.881,     1.181,     0.417,   209.838,     0.000,     0.270,     6.029,   210.820,     0.000,     1.182,  -140.318,     0.000,   211.213,   312.067,    18.305,    21.159,    20.323,    12.608,     0.000,    93.383,    94.482, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     5.500,    39.677,   390.800,     1.231,     0.442,   207.964,    64.296,     0.270,     5.948,   165.410,     1.000,     1.232,   -29.746,    60.656,   252.588,   312.296,    15.169,    15.525,    20.325,    12.611,     0.000,    93.536,    94.653, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
