JDAY,DLT(s),ELWS(m),T2(C),U(ms-1),Q(m3s-1),SRON(Wm-2),EXT(m-1),DEPTH(m),WIDTH(m),SHADE,Tvolavg(C),NetRad(Wm-2),SWSolar(Wm-2),LWRad(Wm-2),BackRad(Wm-2),EvapF(Wm-2),ConducF(Wm-2),      N2,      DO,     EPI,     %DO,  TDG(%),NH4AR   (kg/d),NH4AG   (kg/d),NH4AP   (kg/d),NH4ER   (kg/d),NH4EG   (kg/d),NH4EP   (kg/d),NH4POM  (kg/d),NH4DOM  (kg/d),NH4OM   (kg/d),NH4SED  (kg/d),NH4SOD  (kg/d),APLIM,APLIM,APLIM,ANLIM,ANLIM,ANLIM,ALLIM,ALLIM,ALLIM,
     1.000,    31.486,   391.550,     4.999,    -0.000,    -0.066,     0.000,     0.250,    28.550,  1076.440,     0.000,     5.000,  -251.921,     0.000,   192.181,   329.813,    43.379,    70.911,    20.000,    11.900,     0.000,    97.644,   100.420, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     1.500,    42.361,   391.533,     4.860,     0.206,  2685.414,   151.532,     0.250,    28.533,  1076.440,     1.000,     4.860,   -68.280,   142.955,   215.100,   329.152,    41.347,    55.836,    19.997,    11.903,     0.000,    97.319,   100.129, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     2.000,    44.678,   391.589,     4.731,     0.167,  2203.743,     0.000,     0.250,    28.589,  1076.440,     0.000,     4.731,  -228.204,     0.000,   196.987,   328.540,    38.603,    58.048,    19.995,    11.907,     0.000,    97.023,    99.841, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     2.500,    44.283,   391.538,     4.601,     0.198,  2571.997,   300.231,     0.250,    28.538,  1076.440,     1.000,     4.600,    93.137,   283.237,   210.181,   327.926,    35.871,    36.483,    19.994,    11.911,     0.000,    96.735,    99.595, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     3.000,    43.719,   391.411,     3.268,     0.168,  2160.924,     0.000,     0.250,    28.411,  1076.440,     0.000,     3.432,  -179.107,     0.000,   206.783,   321.676,    28.350,    35.863,    20.239,    12.320,     0.000,    96.599,    98.280, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     3.500,    43.249,   391.273,     3.074,     0.188,  2381.137,    78.852,     0.250,    28.273,  1076.440,     1.000,     3.147,   -55.171,    74.389,   246.396,   320.773,    26.776,    28.405,    20.291,    12.327,     0.000,    96.157,    98.059, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     4.000,    44.866,   391.101,     3.434,     0.197,  2471.658,     0.000,     0.250,    28.101,  1076.440,     0.000,     3.571,  -171.670,     0.000,   209.856,   322.453,    27.183,    31.890,    20.278,    12.319,     0.000,    97.021,    98.831, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     4.500,    41.017,   390.987,     2.636,     0.207,  2506.795,    80.869,     0.250,    27.987,  1038.430,     1.000,     2.720,   -36.547,    76.291,   250.159,   318.744,    22.888,    21.366,    20.258,    12.339,     0.000,    95.118,    97.013, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     5.000,    43.032,   390.826,     3.050,     0.187,  2228.371,     0.000,     0.250,    27.826,  1038.430,     0.000,     3.258,  -151.665,     0.000,   214.480,   320.660,    21.811,    23.673,    20.222,    12.329,     0.000,    96.103,    97.832, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     5.500,    39.677,   390.743,     2.683,     0.202,  2403.014,    26.290,     0.250,    27.743,  1038.430,     1.000,     2.748,   -89.530,    24.802,   248.975,   318.960,    19.504,    24.843,    20.232,    12.336,     0.000,    95.215,    97.049, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
