$JDAY,TDG%
537,112.39
538,113.8
539,115.01
540,115.35
541,116.73
542,120.79
543,122.2
544,121.83
545,121.73
546,120.29
547,119.59
548,117.84
549,118.89
550,119.09
551,117.62
552,117.87
553,117.19
554,116.4
555,117.17
556,117.96
557,117.79
558,118.12
559,118.68
560,119.62
561,118.91
562,119.22
563,119
564,118.44
565,118.68
566,118.95
567,119.25
568,118.53
569,119.17
570,118.51
571,118.27
572,117.73
573,118.03
574,117.92
575,116.98
576,116.75
577,116.81
578,116.19
579,115.19
580,115.05
581,114.01
582,113.82
583,113.99
584,113.96
585,113.81
586,113.63
587,113.47
588,113.28
589,113
590,111.19
591,111.95
592,111.75
593,110.93
594,111.36
595,111.77
596,111.47
597,112.01
598,110.98
599,111.73
600,111.19
601,110.73
602,110.54
603,110.15
604,110.2
605,110.14
606,109.73
607,109.41
608,109.09
609,106.99
610,106.16
611,106.22
612,106.89
613,107.37
614,108.36
615,108.1
616,107.5
617,107.11
618,109.02
619,108.52
620,106.66
621,106.03
622,106.09
623,106.62
624,106.06
625,105.67
626,105.87
627,105.78
628,105.63
629,105.45
630,105.31
631,105.22
632,105.24
633,103.97
634,103.55
635,102.13
636,101.92
637,101.94
638,102.02
639,100.81
640,101.64
641,102.5
642,100.38
643,100.46
644,100.3
645,100.19
646,100.61
647,100.91
648,100.55
649,100.82
650,100.84
651,101
652,100.11
653,100.29
654,101.41
655,102.27
656,99.33
657,99.67
658,101.07
659,100.88
660,100
661,100.34
662,99.42
663,98.68
664,96.94
665,97.1
666,97.43
667,97.71
668,98.19
669,97.61
670,97.92
671,97.61
672,96.78
673,96.34
674,95.75
675,96.13
676,96.54
677,96.94
678,97.38
679,97.42
680,96.49
681,95.64
682,96.02
683,96.15
684,96.07
685,96.36
686,96.8
687,97.35
688,97.08
689,97.68
690,97.63
691,97.18
692,95.09
693,95.77
694,95.8
695,95.3
696,95.2
697,95.57
698,95.33
699,95.78
700,96.18
701,96.49
702,95.92
703,95.31
704,94.72
705,94.91
706,93.51
707,94.86
708,94.35
709,93.96
710,94.75
711,96.2
712,95.9
713,95.33
714,95.8
715,96.18
716,96.74
717,97.07
718,95.5
719,95.79
720,96.87
721,96.41
722,97.65
723,97.55
724,97.26
725,96.7
726,96.9
727,96.81
728,96.03
729,95.82
730,95.84
731,95.23
732,94.82
733,94.4
734,94.35
735,94.8
736,95.28
737,95.99
738,96.71
739,96.73
740,98.48
741,97.37
742,96.64
743,96.09
744,95.93
745,96.17
746,95.63
747,95.59
748,95.79
749,96.28
750,95.92
751,95.7
752,95.88
753,96.49
754,96.68
755,96.26
756,96.91
757,97.45
758,97.32
759,97.77
760,97.24
761,97.15
762,97.19
763,96.96
764,96.85
765,97.89
766,98.58
767,99
768,98.7
769,98.93
770,97.99
771,98.41
772,98.02
773,98.4
774,98.4
775,98.77
776,97.22
777,97.17
778,98.57
779,98.98
780,100.14
781,99.42
782,98.72
783,98.63
784,100.17
785,99.5
786,98.58
787,99.97
788,99.39
789,99.59
790,99.65
791,99.98
792,100.67
793,101.24
794,100.39
795,100.9
796,101.97
797,100.88
798,100.73
799,99.84
800,99.74
801,100
802,100.86
803,100.56
804,100.63
805,100.41
806,101.26
807,101.85
808,101.97
809,100.72
810,102.8
811,101.48
812,100.13
813,99.46
814,99.4
815,100.18
816,100.66
817,100.72
818,100.88
819,100.05
820,99.84
821,100.73
822,101.75
823,101.86
824,101.61
825,102.13
826,102.43
827,102.48
828,102.64
829,101.85
830,101.19
831,102.5
832,104.23
833,103.99
834,103.52
835,103.37
836,104.26
837,103.56
838,101.59
839,101.79
840,102.68
841,102.5
842,101.89
843,101.06
844,102.38
845,102.7
846,103.66
847,103.39
848,104.13
849,103.68
850,104.38
851,102.93
852,102.13
853,102.76
854,103.67
855,103.67
856,104.82
857,106.02
858,107.05
859,106.75
860,106.75
861,107
862,107.17
863,107.16
864,107.39
865,105.9
866,106.91
867,107.67
868,107.73
869,107.06
870,107.3
871,108.37
872,110.25
873,108.94
874,107.03
875,107.45
876,107.55
877,107.7
878,108.72
879,108.72
880,108.33
881,106.7
882,107.32
883,108.62
884,109.58
885,109.81
886,110.31
887,111.21
888,111.57
889,111.84
890,110.42
891,111.15
892,112.02
893,112.6
894,111.99
895,111.76
896,112.49
897,112.56
898,112.9
