JDAY,DLT(s),ELWS(m),T2(C),U(ms-1),Q(m3s-1),SRON(Wm-2),EXT(m-1),DEPTH(m),WIDTH(m),SHADE,Tvolavg(C),NetRad(Wm-2),SWSolar(Wm-2),LWRad(Wm-2),BackRad(Wm-2),EvapF(Wm-2),ConducF(Wm-2),      N2,      DO,     EPI,     %DO,  TDG(%),NH4AR   (kg/d),NH4AG   (kg/d),NH4AP   (kg/d),NH4ER   (kg/d),NH4EG   (kg/d),NH4EP   (kg/d),NH4POM  (kg/d),NH4DOM  (kg/d),NH4OM   (kg/d),NH4SED  (kg/d),NH4SOD  (kg/d),APLIM,APLIM,APLIM,ANLIM,ANLIM,ANLIM,ALLIM,ALLIM,ALLIM,
     1.000,    31.486,   391.550,     4.999,     0.000,     0.049,     0.000,     0.250,    68.550,  1091.340,     0.000,     5.000,  -237.608,     0.000,   195.155,   329.813,    40.156,    62.793,    20.000,    11.900,     0.000,    97.644,   100.447, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     1.500,    42.361,   391.557,     4.920,     0.132,  2872.718,   327.389,     0.250,    68.557,  1091.340,     1.000,     4.916,   103.696,   308.857,   205.508,   329.433,    37.361,    43.875,    19.998,    11.902,     0.000,    97.464,   100.296, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     2.000,    44.678,   391.581,     4.852,     0.079,  1721.114,     0.000,     0.250,    68.581,  1091.340,     0.000,     4.852,  -217.513,     0.000,   200.736,   329.114,    37.352,    51.784,    19.997,    11.904,     0.000,    97.303,   100.141, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     2.500,    44.283,   391.539,     4.798,     0.141,  3050.269,   346.039,     0.250,    68.539,  1091.340,     1.000,     4.793,   139.592,   326.452,   211.805,   328.854,    34.842,    34.970,    19.995,    11.906,     0.000,    97.185,   100.058, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     3.000,    43.719,   391.410,     4.760,     0.077,  1596.779,     0.000,     0.250,    68.410,  1091.340,     0.000,     4.760,  -211.495,     0.000,   201.721,   328.678,    34.909,    49.628,    19.994,    11.907,     0.000,    97.102,    99.956, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     3.500,    43.249,   391.286,     4.702,     0.123,  2624.520,   122.314,     0.250,    68.286,  1091.340,     1.000,     4.702,   -44.613,   115.390,   233.420,   328.401,    31.611,    33.412,    19.993,    11.909,     0.000,    96.971,    99.868, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     4.000,    44.866,   391.104,     4.645,     0.125,  2833.942,     0.000,     0.250,    68.104,  1091.340,     0.000,     4.645,  -159.706,     0.000,   237.130,   328.134,    33.559,    35.142,    19.993,    11.912,     0.000,    96.847,    99.752, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     4.500,    41.017,   390.991,     4.582,     0.139,  3003.388,   134.423,     0.250,    67.991,  1058.280,     1.000,     4.582,   -14.771,   126.814,   238.533,   327.836,    28.948,    23.334,    19.992,    11.914,     0.000,    96.707,    99.626, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     5.000,    43.032,   390.828,     4.529,     0.083,  1755.245,     0.000,     0.250,    67.828,  1058.280,     0.000,     4.529,  -179.256,     0.000,   211.213,   327.584,    29.078,    33.808,    19.991,    11.916,     0.000,    96.593,    99.509, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     5.500,    39.677,   390.743,     4.474,     0.135,  2723.599,    64.296,     0.250,    67.743,  1058.280,     1.000,     4.474,   -68.365,    60.656,   252.588,   327.327,    26.016,    28.265,    19.991,    11.919,     0.000,    96.478,    99.440, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
