JDAY,DLT(s),ELWS(m),T2(C),U(ms-1),Q(m3s-1),SRON(Wm-2),EXT(m-1),DEPTH(m),WIDTH(m),SHADE,Tvolavg(C),NetRad(Wm-2),SWSolar(Wm-2),LWRad(Wm-2),BackRad(Wm-2),EvapF(Wm-2),ConducF(Wm-2),      N2,      DO,     EPI,     %DO,  TDG(%),NH4AR   (kg/d),NH4AG   (kg/d),NH4AP   (kg/d),NH4ER   (kg/d),NH4EG   (kg/d),NH4EP   (kg/d),NH4POM  (kg/d),NH4DOM  (kg/d),NH4OM   (kg/d),NH4SED  (kg/d),NH4SOD  (kg/d),APLIM,APLIM,APLIM,ANLIM,ANLIM,ANLIM,ALLIM,ALLIM,ALLIM,
     1.000,    31.486,   391.550,     4.999,     0.000,     0.109,     0.000,     0.250,    58.550,  1069.750,     0.000,     5.000,  -237.608,     0.000,   195.155,   329.813,    40.156,    62.793,    20.000,    11.900,     0.000,    97.644,   100.447, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     1.500,    42.361,   391.566,     4.941,     0.089,  2925.728,   327.389,     0.250,    58.566,  1069.750,     1.000,     4.937,   103.438,   308.857,   205.508,   329.534,    37.438,    43.955,    19.998,    11.902,     0.000,    97.516,   100.344, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     2.000,    44.678,   391.580,     4.901,     0.056,  1640.686,     0.000,     0.250,    58.580,  1069.750,     0.000,     4.901,  -218.108,     0.000,   200.736,   329.345,    37.531,    51.969,    19.997,    11.903,     0.000,    97.420,   100.251, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     2.500,    44.283,   391.543,     4.855,     0.094,  3086.344,   346.039,     0.250,    58.543,  1069.750,     1.000,     4.850,   138.883,   326.452,   211.805,   329.126,    35.056,    35.193,    19.996,    11.905,     0.000,    97.322,   100.186, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     3.000,    43.719,   391.408,     4.821,     0.056,  1575.746,     0.000,     0.250,    58.408,  1069.750,     0.000,     4.821,  -212.232,     0.000,   201.721,   328.966,    35.129,    49.858,    19.995,    11.905,     0.000,    97.241,   100.092, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     3.500,    43.249,   391.294,     4.744,     0.079,  2660.719,   122.314,     0.250,    58.294,  1069.750,     1.000,     4.744,   -45.130,   115.390,   233.420,   328.602,    31.765,    33.573,    19.994,    11.908,     0.000,    97.064,    99.963, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     4.000,    44.866,   391.112,     4.683,     0.087,  2812.417,     0.000,     0.250,    58.112,  1069.750,     0.000,     4.683,  -160.194,     0.000,   237.130,   328.313,    33.709,    35.300,    19.993,    11.910,     0.000,    96.932,    99.836, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     4.500,    41.017,   390.992,     4.622,     0.092,  3096.595,   134.423,     0.250,    57.992,  1058.290,     1.000,     4.622,   -15.248,   126.814,   238.533,   328.022,    29.089,    23.483,    19.992,    11.913,     0.000,    96.798,    99.714, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     5.000,    43.032,   390.828,     4.583,     0.056,  1731.286,     0.000,     0.250,    57.828,  1058.290,     0.000,     4.583,  -179.913,     0.000,   211.213,   327.841,    29.272,    34.014,    19.991,    11.915,     0.000,    96.721,    99.629, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     5.500,    39.677,   390.745,     4.526,     0.094,  2802.897,    64.296,     0.250,    57.745,  1058.290,     1.000,     4.526,   -69.005,    60.656,   252.588,   327.572,    26.208,    28.469,    19.991,    11.918,     0.000,    96.598,    99.554, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
