JDAY,DLT(s),ELWS(m),T2(C),U(ms-1),Q(m3s-1),SRON(Wm-2),EXT(m-1),DEPTH(m),WIDTH(m),SHADE,Tvolavg(C),NetRad(Wm-2),SWSolar(Wm-2),LWRad(Wm-2),BackRad(Wm-2),EvapF(Wm-2),ConducF(Wm-2),      N2,      DO,     EPI,     %DO,  TDG(%),NH4AR   (kg/d),NH4AG   (kg/d),NH4AP   (kg/d),NH4ER   (kg/d),NH4EG   (kg/d),NH4EP   (kg/d),NH4POM  (kg/d),NH4DOM  (kg/d),NH4OM   (kg/d),NH4SED  (kg/d),NH4SOD  (kg/d),APLIM,APLIM,APLIM,ANLIM,ANLIM,ANLIM,ALLIM,ALLIM,ALLIM,
     1.000,    31.486,   391.550,     4.999,    -0.000,    -0.077,     0.000,     0.250,    68.550,  1460.520,     0.000,     5.000,  -251.921,     0.000,   192.181,   329.813,    43.379,    70.911,    20.000,    11.900,     0.000,    97.644,   100.420, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     1.500,    42.361,   391.555,     4.922,     0.083,  2857.023,   151.532,     0.250,    68.555,  1460.520,     1.000,     4.922,   -69.049,   142.955,   215.100,   329.443,    41.582,    56.079,    19.998,    11.902,     0.000,    97.462,   100.269, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     2.000,    44.678,   391.581,     4.870,     0.052,  1746.356,     0.000,     0.250,    68.581,  1460.520,     0.000,     4.870,  -229.886,     0.000,   196.987,   329.196,    39.106,    58.571,    19.997,    11.903,     0.000,    97.343,   100.155, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     2.500,    44.283,   391.539,     4.812,     0.094,  3033.177,   300.231,     0.250,    68.539,  1460.520,     1.000,     4.811,    90.544,   283.237,   210.181,   328.923,    36.651,    37.300,    19.996,    11.905,     0.000,    97.214,   100.066, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     3.000,    43.719,   391.410,     4.771,     0.054,  1614.056,     0.000,     0.250,    68.410,  1460.520,     0.000,     4.771,  -197.089,     0.000,   206.783,   328.728,    33.572,    41.572,    19.995,    11.907,     0.000,    97.126,   100.001, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     3.500,    43.249,   391.284,     4.706,     0.083,  2610.202,    78.852,     0.250,    68.284,  1460.520,     1.000,     4.706,   -74.615,    74.389,   246.396,   328.423,    32.388,    34.589,    19.994,    11.909,     0.000,    96.980,    99.866, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     4.000,    44.866,   391.102,     4.646,     0.089,  2830.091,     0.000,     0.250,    68.102,  1460.520,     0.000,     4.646,  -186.191,     0.000,   209.856,   328.138,    31.407,    36.502,    19.993,    11.911,     0.000,    96.847,    99.746, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     4.500,    41.017,   390.991,     4.586,     0.094,  2974.936,    80.869,     0.250,    67.991,  1425.450,     1.000,     4.586,   -59.594,    76.291,   250.159,   327.856,    29.457,    28.731,    19.992,    11.914,     0.000,    96.717,    99.633, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     5.000,    43.032,   390.828,     4.533,     0.058,  1767.635,     0.000,     0.250,    67.828,  1425.450,     0.000,     4.533,  -169.262,     0.000,   214.480,   327.605,    26.862,    29.274,    19.991,    11.916,     0.000,    96.604,    99.549, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     5.500,    39.677,   390.744,     4.472,     0.084,  2701.117,    26.290,     0.250,    67.744,  1425.450,     1.000,     4.472,  -110.788,    24.802,   248.975,   327.316,    25.579,    31.669,    19.991,    11.919,     0.000,    96.472,    99.429, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     6.000,    39.859,   390.588,     4.420,     0.052,  1534.100,     0.000,     0.250,    67.588,  1425.450,     0.000,     4.420,  -124.685,     0.000,   249.288,   327.069,    21.903,    25.001,    19.991,    11.922,     0.000,    96.365,    99.360, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     6.500,    40.007,   390.555,     4.373,     0.086,  2582.286,    12.119,     0.250,    67.555,  1425.450,     1.000,     4.373,   -94.240,    11.433,   259.072,   326.850,    17.991,    19.904,    19.991,    11.925,     0.000,    96.271,    99.313, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
