JDAY,DLT(s),ELWS(m),T2(C),U(ms-1),Q(m3s-1),SRON(Wm-2),EXT(m-1),DEPTH(m),WIDTH(m),SHADE,Tvolavg(C),NetRad(Wm-2),SWSolar(Wm-2),LWRad(Wm-2),BackRad(Wm-2),EvapF(Wm-2),ConducF(Wm-2),      N2,      DO,     EPI,     %DO,  TDG(%),NH4AR   (kg/d),NH4AG   (kg/d),NH4AP   (kg/d),NH4ER   (kg/d),NH4EG   (kg/d),NH4EP   (kg/d),NH4POM  (kg/d),NH4DOM  (kg/d),NH4OM   (kg/d),NH4SED  (kg/d),NH4SOD  (kg/d),APLIM,APLIM,APLIM,ANLIM,ANLIM,ANLIM,ALLIM,ALLIM,ALLIM,
     1.000,    31.486,   391.550,     4.999,     0.000,     0.035,     0.000,     0.250,    66.550,  1680.060,     0.000,     5.000,  -251.921,     0.000,   192.181,   329.813,    43.379,    70.911,    20.000,    11.900,     0.000,    97.644,   100.419, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     1.500,    42.361,   391.548,     4.917,     0.077,  2758.703,   151.532,     0.250,    66.548,  1680.060,     1.000,     4.917,   -68.988,   142.955,   215.100,   329.420,    41.563,    56.060,    19.998,    11.902,     0.000,    97.451,   100.258, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     2.000,    44.678,   391.582,     4.860,     0.057,  1923.293,     0.000,     0.250,    66.582,  1680.060,     0.000,     4.860,  -229.765,     0.000,   196.987,   329.149,    39.070,    58.534,    19.997,    11.903,     0.000,    97.320,   100.132, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     2.500,    44.283,   391.537,     4.798,     0.087,  2882.269,   300.231,     0.250,    66.537,  1680.060,     1.000,     4.797,    90.716,   283.237,   210.181,   328.857,    36.599,    37.246,    19.996,    11.906,     0.000,    97.183,   100.035, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     3.000,    43.719,   391.411,     4.750,     0.053,  1778.967,     0.000,     0.250,    66.411,  1680.060,     0.000,     4.750,  -196.841,     0.000,   206.783,   328.631,    33.498,    41.495,    19.994,    11.908,     0.000,    97.079,    99.955, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     3.500,    43.249,   391.279,     4.689,     0.073,  2503.476,    78.852,     0.250,    66.279,  1680.060,     1.000,     4.689,   -74.402,    74.389,   246.396,   328.340,    32.324,    34.523,    19.993,    11.910,     0.000,    96.940,    99.827, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     4.000,    44.866,   391.098,     4.631,     0.079,  2753.679,     0.000,     0.250,    66.098,  1680.060,     0.000,     4.631,  -186.007,     0.000,   209.856,   328.067,    31.352,    36.444,    19.992,    11.912,     0.000,    96.815,    99.713, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     4.500,    41.017,   390.989,     4.562,     0.082,  2774.580,    80.869,     0.250,    65.989,  1519.070,     1.000,     4.562,   -59.295,    76.291,   250.159,   327.739,    29.369,    28.638,    19.992,    11.915,     0.000,    96.663,    99.579, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     5.000,    43.032,   390.827,     4.491,     0.061,  1903.802,     0.000,     0.250,    65.827,  1519.070,     0.000,     4.491,  -168.748,     0.000,   214.480,   327.404,    26.711,    29.113,    19.991,    11.918,     0.000,    96.510,    99.457, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     5.500,    39.677,   390.742,     4.408,     0.077,  2558.428,    26.290,     0.250,    65.742,  1519.070,     1.000,     4.408,  -110.009,    24.802,   248.975,   327.013,    25.349,    31.424,    19.991,    11.922,     0.000,    96.334,    99.292, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     6.000,    39.859,   390.585,     4.322,     0.055,  1760.598,     0.000,     0.250,    65.585,  1519.070,     0.000,     4.322,  -123.514,     0.000,   249.288,   326.609,    21.559,    24.634,    19.992,    11.927,     0.000,    96.160,    99.154, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     6.500,    40.007,   390.548,     4.227,     0.077,  2508.217,    12.119,     0.250,    65.548,  1519.070,     1.000,     4.227,   -92.482,    11.433,   259.072,   326.161,    17.476,    19.350,    19.993,    11.933,     0.000,    95.967,    99.007, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     7.000,    33.335,   390.478,     4.155,     0.059,  1851.717,     0.000,     0.250,    65.478,  1519.070,     0.000,     4.155,   -99.375,     0.000,   258.338,   325.822,    14.446,    17.445,    19.994,    11.939,     0.000,    95.831,    98.899, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     7.500,    32.849,   390.440,     2.343,     0.081,  2423.785,    18.140,     0.250,    65.440,  1519.070,     1.000,     3.558,   -44.947,    17.113,   265.790,   317.408,     4.878,     5.564,    20.299,    12.333,     0.000,    94.311,    96.777, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     8.000,    33.856,   390.440,     1.764,    -0.018,  2189.869,     0.000,     0.250,    65.440,  1519.070,     0.000,     3.193,   -65.560,     0.000,   243.833,   314.730,     1.853,    -7.190,    20.526,    12.599,     0.000,    94.839,    96.752, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     8.500,    33.525,   390.571,     1.641,     0.031,  2394.958,   186.001,     0.250,    65.571,  1519.070,     1.000,     3.142,    84.555,   175.473,   237.844,   314.166,    11.792,     2.803,    20.530,    12.602,     0.000,    94.537,    96.358, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     9.000,    34.378,   390.663,     1.603,     0.039,  1561.531,     0.000,     0.250,    65.663,  1519.070,     0.000,     3.062,  -164.972,     0.000,   204.369,   313.993,    21.651,    33.697,    20.500,    12.570,     0.000,    94.196,    95.981, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     9.500,    34.699,   390.738,     1.555,     0.088,  2919.817,   161.559,     0.250,    65.738,  1519.070,     1.000,     2.986,    33.224,   152.414,   230.651,   313.776,    17.577,    18.488,    20.474,    12.545,     0.000,    93.885,    95.785, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
    10.000,    33.476,   390.746,     1.092,     0.069,  1757.797,     0.000,     0.250,    65.746,  1519.070,     0.000,     2.795,  -163.260,     0.000,   203.945,   311.667,    22.721,    32.817,    20.546,    12.628,     0.000,    93.303,    95.090, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
    10.500,    32.372,   390.660,     0.898,     0.100,  2510.534,   329.713,     0.250,    65.660,  1519.070,     1.000,     2.592,   157.589,   311.050,   207.787,   310.782,    24.603,    25.862,    20.552,    12.651,     0.000,    92.959,    94.685, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
    11.000,    32.588,   390.542,     0.842,     0.090,  2269.532,     0.000,     0.250,    65.542,  1519.070,     0.000,     2.525,  -213.023,     0.000,   189.488,   310.528,    30.832,    61.150,    20.608,    12.623,     0.000,    92.612,    94.650, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
    11.500,    30.776,   390.463,     1.006,     0.108,  2785.787,   202.090,     0.250,    65.463,  1519.070,     1.000,     2.519,    25.799,   190.651,   211.029,   311.275,    29.856,    34.750,    20.745,    12.559,     0.000,    92.569,    95.452, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
    12.000,    31.172,   390.342,     1.092,     0.110,  2515.781,     0.000,     0.250,    65.342,  1519.070,     0.000,     2.551,  -155.947,     0.000,   205.514,   311.662,    20.261,    29.537,    20.682,    12.547,     0.000,    92.700,    95.485, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
    12.500,    31.034,   390.216,     1.033,     0.103,  2937.186,    36.410,     0.250,    65.216,  1519.070,     1.000,     2.554,   -73.721,    34.349,   245.269,   311.395,    18.366,    23.579,    20.594,    12.561,     0.000,    92.652,    95.083, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
    13.000,    30.591,   390.152,     1.004,     0.089,  2492.646,     0.000,     0.250,    65.152,  1519.070,     0.000,     2.563,  -118.394,     0.000,   222.653,   311.265,    13.123,    16.660,    20.536,    12.571,     0.000,    92.652,    94.885, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
