JDAY,DLT(s),ELWS(m),T2(C),U(ms-1),Q(m3s-1),SRON(Wm-2),EXT(m-1),DEPTH(m),WIDTH(m),SHADE,Tvolavg(C),NetRad(Wm-2),SWSolar(Wm-2),LWRad(Wm-2),BackRad(Wm-2),EvapF(Wm-2),ConducF(Wm-2),      N2,      DO,     EPI,     %DO,  TDG(%),NH4AR   (kg/d),NH4AG   (kg/d),NH4AP   (kg/d),NH4ER   (kg/d),NH4EG   (kg/d),NH4EP   (kg/d),NH4POM  (kg/d),NH4DOM  (kg/d),NH4OM   (kg/d),NH4SED  (kg/d),NH4SOD  (kg/d),APLIM,APLIM,APLIM,ANLIM,ANLIM,ANLIM,ALLIM,ALLIM,ALLIM,
     1.000,    31.486,   391.550,     4.998,    -0.000,    -0.010,     0.000,     0.250,     4.550,   114.540,     0.000,     4.999,  -222.317,     0.000,   201.218,   329.813,    39.201,    54.521,    20.000,    11.900,     0.000,    97.642,   100.488, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     1.500,    42.361,   391.595,     3.395,    -0.000,     0.141,   137.848,     0.250,     4.595,   114.540,     1.000,     3.447,   -69.378,   130.045,   217.207,   322.269,    37.245,    57.116,    20.026,    11.986,     0.000,    94.298,    97.142, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     2.000,    44.678,   391.578,     2.358,    -0.003,    -0.206,     0.000,     0.250,     4.578,   114.540,     0.000,     2.441,  -171.486,     0.000,   219.419,   317.461,    30.124,    43.320,    20.121,    12.100,     0.000,    92.575,    95.422, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     2.500,    44.283,   391.553,     1.465,    -0.000,     0.119,   292.942,     0.250,     4.553,   114.540,     1.000,     1.522,    83.982,   276.361,   204.024,   313.358,    36.122,    46.923,    20.296,    12.279,     0.000,    91.667,    94.400, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     3.000,    43.719,   391.404,     0.855,     0.001,     0.313,     0.000,     0.250,     4.404,   114.540,     0.000,     0.934,  -150.215,     0.000,   233.013,   310.592,    27.254,    45.382,    20.487,    12.464,     0.000,    91.476,    94.070, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     3.500,    43.249,   391.309,     0.002,     0.002,     0.367,   140.217,     0.250,     4.309,   114.540,     1.000,     0.075,    -1.719,   132.281,   224.580,   306.735,    22.601,    29.244,    20.746,    12.702,     0.000,    90.995,    93.516, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     4.000,    44.866,   391.128,    -0.422,    -0.002,     0.009,     0.000,     0.250,     4.128,   114.540,     0.000,    -0.326,   -87.391,     0.000,   247.775,   304.839,    15.240,    15.086,    20.944,    12.882,     0.000,    91.166,    93.633, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     4.500,    41.017,   390.998,    -0.815,     0.001,     0.212,   146.565,     0.250,     3.998,    29.590,     1.000,    -0.715,    53.600,   138.269,   235.855,   303.086,    12.503,     4.934,    21.152,    13.068,     0.000,    91.440,    93.782, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     5.000,    43.032,   390.831,    -0.266,    -0.000,    -0.032,     0.000,     0.250,     3.831,    29.590,     0.000,    -0.114,   -90.032,     0.000,   247.803,   305.537,    16.413,    15.886,    21.046,    12.966,     0.000,    92.180,    94.460, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     5.500,    39.677,   390.750,     0.002,     0.003,     0.154,    53.149,     0.250,     3.750,    29.590,     1.000,     0.095,   -29.545,    50.140,   251.202,   306.738,    12.105,    12.043,    20.976,    12.900,     0.000,    92.418,    94.751, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     6.000,    39.859,   390.606,     0.508,    -0.001,    -0.001,     0.000,     0.250,     3.606,    29.590,     0.000,     0.708,   -68.226,     0.000,   258.674,   309.019,    11.309,     6.573,    20.886,    12.820,     0.000,    93.176,    95.470, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     6.500,    40.007,   390.585,     0.877,     0.000,     0.082,    93.408,     0.250,     3.585,    29.590,     1.000,     0.917,    30.309,    88.121,   261.024,   310.686,     7.849,     0.301,    20.802,    12.747,     0.000,    93.617,    95.914, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     7.000,    33.335,   390.477,     1.069,    -0.002,    -0.030,     0.000,     0.250,     3.477,    29.590,     0.000,     1.124,   -52.005,     0.000,   265.720,   311.558,     5.270,     0.898,    20.762,    12.719,     0.000,    93.911,    96.187, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     7.500,    32.849,   390.466,     1.409,     0.003,     0.019,    70.010,     0.250,     3.466,    29.590,     1.000,     1.529,    32.399,    66.047,   274.583,   313.104,     1.023,    -5.896,    20.712,    12.687,     0.000,    94.568,    96.771, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     8.000,    33.856,   390.449,     1.862,    -0.005,    -0.065,     0.000,     0.250,     3.449,    29.590,     0.000,     1.935,   -83.222,     0.000,   259.752,   315.178,    14.641,    13.155,    20.616,    12.615,     0.000,    95.215,    97.212, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     8.500,    33.525,   390.571,     1.922,    -0.002,    -0.047,   180.432,     0.250,     3.571,    29.590,     1.000,     1.985,    57.778,   170.219,   231.286,   315.454,    14.962,    13.312,    20.540,    12.548,     0.000,    94.868,    96.929, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
