JDAY,DLT(s),ELWS(m),T2(C),U(ms-1),Q(m3s-1),SRON(Wm-2),EXT(m-1),DEPTH(m),WIDTH(m),SHADE,Tvolavg(C),NetRad(Wm-2),SWSolar(Wm-2),LWRad(Wm-2),BackRad(Wm-2),EvapF(Wm-2),ConducF(Wm-2),      N2,      DO,     EPI,     %DO,  TDG(%),NH4AR   (kg/d),NH4AG   (kg/d),NH4AP   (kg/d),NH4ER   (kg/d),NH4EG   (kg/d),NH4EP   (kg/d),NH4POM  (kg/d),NH4DOM  (kg/d),NH4OM   (kg/d),NH4SED  (kg/d),NH4SOD  (kg/d),APLIM,APLIM,APLIM,ANLIM,ANLIM,ANLIM,ALLIM,ALLIM,ALLIM,
     1.000,    31.486,   391.550,     4.999,     0.000,     0.103,     0.000,     0.250,    36.550,   666.740,     0.000,     5.000,  -251.921,     0.000,   192.181,   329.813,    43.379,    70.911,    20.000,    11.900,     0.000,    97.644,   100.420, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     1.500,    42.361,   391.576,     4.689,     0.316,  2584.014,   151.532,     0.250,    36.576,   666.740,     1.000,     4.688,   -66.177,   142.955,   215.100,   328.354,    40.708,    55.169,    20.009,    11.931,     0.000,    97.109,    99.835, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     2.000,    44.678,   391.650,     3.126,     0.281,  2316.481,     0.000,     0.250,    36.650,   666.740,     0.000,     3.193,  -209.112,     0.000,   196.987,   321.016,    33.093,    51.990,    20.252,    12.312,     0.000,    96.169,    97.922, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     2.500,    44.283,   391.594,     3.323,     0.304,  2485.450,   300.231,     0.250,    36.594,   666.740,     1.000,     3.344,   108.602,   283.237,   210.181,   321.930,    31.357,    31.529,    20.298,    12.310,     0.000,    96.664,    98.579, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     3.000,    43.719,   391.453,     3.313,     0.285,  2305.158,     0.000,     0.250,    36.453,   666.740,     0.000,     3.401,  -179.650,     0.000,   206.783,   321.891,    28.504,    36.038,    20.263,    12.312,     0.000,    96.652,    98.470, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     3.500,    43.249,   391.318,     2.923,     0.299,  2380.473,    78.852,     0.250,    36.318,   666.740,     1.000,     2.940,   -53.390,    74.389,   246.396,   320.066,    26.281,    27.828,    20.219,    12.314,     0.000,    95.662,    97.410, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     4.000,    44.866,   391.161,     2.904,     0.305,  2396.582,     0.000,     0.250,    36.161,   666.740,     0.000,     2.964,  -165.427,     0.000,   209.856,   319.984,    25.430,    29.868,    20.213,    12.315,     0.000,    95.620,    97.379, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     4.500,    41.017,   391.044,     3.229,     0.311,  2426.793,    80.869,     0.250,    36.044,   666.740,     1.000,     3.245,   -43.445,    76.291,   250.159,   321.492,    24.800,    23.603,    20.208,    12.311,     0.000,    96.431,    98.086, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     5.000,    43.032,   390.875,     2.851,     0.302,  2323.079,     0.000,     0.250,    35.875,   657.070,     0.000,     2.911,  -149.351,     0.000,   214.480,   319.739,    21.169,    22.923,    20.213,    12.315,     0.000,    95.490,    97.315, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     5.500,    39.677,   390.798,     3.025,     0.310,  2370.020,    26.290,     0.250,    35.798,   657.070,     1.000,     3.049,   -93.522,    24.802,   248.975,   320.542,    20.611,    26.146,    20.212,    12.313,     0.000,    95.919,    97.686, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     6.000,    39.859,   390.625,     2.748,     0.305,  2291.049,     0.000,     0.250,    35.625,   657.070,     0.000,     2.798,  -104.993,     0.000,   249.288,   319.262,    16.305,    18.714,    20.527,    12.317,     0.000,    95.238,    98.335, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     6.500,    40.007,   390.591,     3.380,     0.316,  2358.738,    12.119,     0.250,    35.591,   657.070,     1.000,     3.403,   -82.405,    11.433,   259.072,   322.192,    14.579,    16.139,    20.854,    12.310,     0.000,    96.811,   101.071, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
