JDAY,DLT(s),ELWS(m),T2(C),U(ms-1),Q(m3s-1),SRON(Wm-2),EXT(m-1),DEPTH(m),WIDTH(m),SHADE,Tvolavg(C),NetRad(Wm-2),SWSolar(Wm-2),LWRad(Wm-2),BackRad(Wm-2),EvapF(Wm-2),ConducF(Wm-2),      N2,      DO,     EPI,     %DO,  TDG(%),NH4AR   (kg/d),NH4AG   (kg/d),NH4AP   (kg/d),NH4ER   (kg/d),NH4EG   (kg/d),NH4EP   (kg/d),NH4POM  (kg/d),NH4DOM  (kg/d),NH4OM   (kg/d),NH4SED  (kg/d),NH4SOD  (kg/d),APLIM,APLIM,APLIM,ANLIM,ANLIM,ANLIM,ALLIM,ALLIM,ALLIM,
     1.000,    31.486,   394.480,     5.000,     0.190,   177.429,     0.000,     0.250,     9.001,   182.540,     0.000,     5.000,  -251.921,     0.000,   192.181,   329.813,    43.379,    70.911,    20.000,    11.900,     0.000,     0.000,     0.000, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     1.500,    42.361,   396.338,     3.292,     2.006,  2489.130,   151.532,     0.250,    10.860,   236.360,     1.000,     3.293,   -49.017,   142.955,   215.100,   321.786,    35.654,    49.633,    20.247,    12.301,     0.000,    96.545,    98.286, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     2.000,    44.678,   396.254,     3.480,     2.051,  2441.641,     0.000,     0.250,    10.775,   236.360,     0.000,     3.482,  -213.260,     0.000,   196.987,   322.662,    34.260,    53.324,    20.297,    12.301,     0.000,    97.027,    98.906, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     2.500,    44.283,   396.223,     3.228,     1.989,  2411.803,   300.231,     0.250,    10.744,   236.360,     1.000,     3.228,   109.711,   283.237,   210.181,   321.497,    31.042,    31.169,    20.254,    12.301,     0.000,    96.379,    98.220, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     3.000,    43.719,   396.185,     3.256,     2.047,  2387.210,     0.000,     0.250,    10.707,   236.360,     0.000,     3.258,  -178.947,     0.000,   206.783,   321.613,    28.306,    35.812,    20.204,    12.301,     0.000,    96.453,    98.092, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     3.500,    43.249,   396.155,     3.093,     1.966,  2380.517,    78.852,     0.250,    10.676,   236.360,     1.000,     3.093,   -55.380,    74.389,   246.396,   320.857,    26.835,    28.473,    20.201,    12.301,     0.000,    96.032,    97.747, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     4.000,    44.866,   396.137,     3.484,     2.056,  2356.540,     0.000,     0.250,    10.658,   236.360,     0.000,     3.486,  -172.260,     0.000,   209.856,   322.685,    27.351,    32.080,    20.200,    12.301,     0.000,    97.038,    98.644, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     4.500,    41.017,   396.151,     2.994,     2.046,  2372.615,    80.869,     0.250,    10.672,   236.360,     1.000,     2.995,   -40.700,    76.291,   250.159,   320.401,    24.033,    22.717,    20.201,    12.301,     0.000,    95.779,    97.564, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     5.000,    43.032,   396.162,     3.183,     2.052,  2377.668,     0.000,     0.250,    10.683,   236.360,     0.000,     3.184,  -153.218,     0.000,   214.480,   321.278,    22.245,    24.175,    20.201,    12.301,     0.000,    96.264,    98.015, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     5.500,    39.677,   396.130,     2.889,     2.048,  2370.368,    26.290,     0.250,    10.651,   236.360,     1.000,     2.890,   -91.939,    24.802,   248.975,   319.915,    20.170,    25.630,    20.528,    12.301,     0.000,    95.510,    98.615, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
     6.000,    39.859,   396.095,     3.587,     1.989,  2346.287,     0.000,     0.250,    10.617,   236.360,     0.000,     3.588,  -114.780,     0.000,   249.288,   323.160,    19.040,    21.867,    20.876,    12.301,     0.000,    97.303,   101.594, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,     1.000,
