$WITHDRAWAL AT SEG84                                         ELEV OF WITHDRAWAL CENTERLINE:280.     

JDAY,     TDS,    Gen1,    Gen2,    Gen3,    Gen4,    Gen5,    ISS2,     PO4,     NH4,     NO3,    LDOM,    RDOM,    LPOM,    RPOM,    ALG1,      DO,     TIC,     ALK,  LDOM-P,  RDOM-P,  LPOM-P,  RPOM-P,  LDOM-N,  RDOM-N,  LPOM-N,  RPOM-N,
  4387.601,   57.0001,    3.5995,    0.0000,    0.0000,    6.0600,    0.0000,    4.9133,    0.0481,    0.0754,    0.1553,    2.2820,    2.9684,    0.6145,    0.6981,    0.2460,    5.8995,    4.9436,   16.5051,    0.0047,    0.0061,    0.0013,    0.0014,    0.2557,    0.3334,    0.0504,    0.0590,
  4387.702,   57.0005,    3.7005,    0.0000,    0.0000,    6.0600,    0.0000,    4.8356,    0.0481,    0.0741,    0.1562,    2.2669,    2.9703,    0.6083,    0.6924,    0.2693,    6.0087,    4.8950,   16.5053,    0.0047,    0.0061,    0.0013,    0.0013,    0.2540,    0.3336,    0.0498,    0.0586,
  4387.801,   57.0012,    3.8002,    0.0000,    0.0000,    6.0599,    0.0000,    4.8221,    0.0482,    0.0761,    0.1572,    2.2533,    2.9720,    0.6052,    0.6915,    0.2614,    5.9360,    4.9207,   16.5059,    0.0047,    0.0061,    0.0013,    0.0013,    0.2524,    0.3338,    0.0496,    0.0585,
  4387.901,   57.0019,    3.8994,    0.0000,    0.0000,    6.0599,    0.0000,    4.7531,    0.0483,    0.0779,    0.1581,    2.2385,    2.9738,    0.5996,    0.6866,    0.2524,    5.8907,    4.9360,   16.5064,    0.0046,    0.0061,    0.0012,    0.0013,    0.2508,    0.3340,    0.0491,    0.0581,
  4388.000,   57.0021,    4.0006,    0.0000,    0.0000,    6.0598,    0.0000,    4.7476,    0.0484,    0.0799,    0.1591,    2.2232,    2.9756,    0.5968,    0.6863,    0.2411,    5.8294,    4.9562,   16.5066,    0.0046,    0.0061,    0.0012,    0.0013,    0.2490,    0.3342,    0.0489,    0.0580,
  4388.100,   57.0022,    4.0989,    0.0000,    0.0000,    6.0598,    0.0000,    4.7359,    0.0485,    0.0816,    0.1602,    2.2084,    2.9775,    0.5937,    0.6857,    0.2325,    5.7800,    4.9714,   16.5066,    0.0046,    0.0061,    0.0012,    0.0013,    0.2474,    0.3344,    0.0487,    0.0580,
  4388.200,   57.0023,    4.1990,    0.0000,    0.0000,    6.0598,    0.0000,    4.6532,    0.0485,    0.0828,    0.1612,    2.1937,    2.9793,    0.5868,    0.6797,    0.2278,    5.7642,    4.9739,   16.5067,    0.0045,    0.0061,    0.0012,    0.0013,    0.2457,    0.3346,    0.0481,    0.0575,
  4388.301,   57.0018,    4.3000,    0.0000,    0.0000,    6.0599,    0.0000,    4.7842,    0.0487,    0.0849,    0.1623,    2.1797,    2.9812,    0.5945,    0.6902,    0.2113,    5.6188,    5.0293,   16.5063,    0.0045,    0.0061,    0.0012,    0.0013,    0.2441,    0.3348,    0.0486,    0.0584,
  4388.401,   57.0015,    4.3997,    0.0000,    0.0000,    6.0599,    0.0000,    4.6497,    0.0485,    0.0829,    0.1631,    2.1668,    2.9831,    0.5869,    0.6804,    0.2323,    5.6925,    5.0024,   16.5061,    0.0045,    0.0061,    0.0012,    0.0013,    0.2426,    0.3351,    0.0478,    0.0575,
  4388.501,   57.0012,    4.4990,    0.0000,    0.0000,    6.0599,    0.0000,    4.4743,    0.0482,    0.0784,    0.1638,    2.1543,    2.9850,    0.5780,    0.6674,    0.2710,    5.8326,    4.9526,   16.5059,    0.0045,    0.0061,    0.0012,    0.0013,    0.2412,    0.3353,    0.0468,    0.0564,
