                                                                              Part#,Seg#,XLocationwithinSegmentfromUpstreamSide(m),Layer#,VerticalDistfromTop(m),LateralDistfromLeftBank,Branch#,ParticleInModel(=0),JDAYleftsystem,DetentionTime(days),RemovalMechanism,SedVelocity(m/d),DateStart
     47,     52.000,   249.628,   151.000,     1.540,   165.889,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
     48,     52.000,   320.542,   153.000,     0.156,   184.871,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
     49,     50.000,    34.836,   141.000,     0.132,   344.435,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
     50,     50.000,    23.576,   143.000,     0.725,   359.902,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
     51,     50.000,   469.150,   141.000,     0.732,   314.104,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
     52,     51.000,   216.267,   136.000,     0.795,   352.135,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
     53,     50.000,   217.167,   145.000,     1.320,   280.981,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
     54,     55.000,   309.775,   160.000,     1.664,    35.054,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
     55,     55.000,    16.630,   134.000,     0.710,   307.969,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
     56,     50.000,   188.277,   136.000,     0.522,   373.434,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
     57,     51.000,   356.031,   125.000,     1.591,   517.783,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
     58,     53.000,   321.408,   135.000,     1.922,   232.609,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
     59,     57.000,   408.456,   167.000,     0.901,    80.394,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
     60,     50.000,   366.417,   128.000,     1.042,   437.397,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
     61,     50.000,   414.019,   137.000,     1.884,   345.803,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
     62,     50.000,   258.844,   140.000,     0.856,   357.678,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
     63,     50.000,   482.263,   133.000,     0.227,   370.615,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
     64,     50.000,   431.120,   139.000,     1.838,   299.250,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
     65,     50.000,   462.514,   129.000,     1.215,   411.501,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
     66,     52.000,   230.472,   151.000,     1.005,   130.708,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
     67,     53.000,    82.970,   134.000,     0.552,   356.893,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
     68,     50.000,   460.414,   138.000,     0.345,   368.969,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
     69,     50.000,   399.407,   130.000,     0.515,   458.476,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
     70,     51.000,   364.360,   140.000,     0.112,   258.780,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
     71,     55.000,   125.210,   161.000,     0.537,   142.457,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
     72,     54.000,   236.234,   158.000,     0.451,   149.453,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
