                                                                              Part#,Seg#,XLocationwithinSegmentfromUpstreamSide(m),Layer#,VerticalDistfromTop(m),LateralDistfromLeftBank,Branch#,ParticleInModel(=0),JDAYleftsystem,DetentionTime(days),RemovalMechanism,SedVelocity(m/d),DateStart
    205,     52.000,   123.332,   124.000,     1.091,   336.550,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    206,     50.000,   268.104,   127.000,     0.631,   366.464,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    207,     52.000,   230.721,   157.000,     1.347,   251.077,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    208,     51.000,   162.988,   121.000,     0.868,   309.959,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    209,     50.000,   168.105,   145.000,     1.809,   290.225,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    210,     51.000,   156.673,   124.000,     0.351,   304.022,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    211,     53.000,   151.098,   139.000,     1.118,   246.551,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    212,     55.000,   145.879,   105.000,     0.156,   889.411,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    213,     53.000,   109.188,   107.000,     0.037,   785.310,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    214,     52.000,   347.931,   135.000,     1.593,   324.712,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    215,     63.000,   209.106,   178.000,     0.554,     9.891,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    216,     62.000,   289.866,   125.000,     1.853,   682.712,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    217,     55.000,   451.754,   139.000,     0.141,   353.992,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    218,     53.000,   291.501,   107.000,     1.073,   779.462,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    219,     62.000,   377.263,   127.000,     1.566,   635.252,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    220,     64.000,   138.723,   105.000,     1.827,   483.609,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    221,     52.000,   440.532,   153.000,     1.270,   231.082,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    222,     61.000,   228.594,   136.000,     1.110,   556.751,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    223,     60.000,    50.983,   103.000,     0.646,   794.073,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    224,     62.000,   228.626,   145.000,     1.235,   332.981,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    225,     59.000,     4.799,   107.000,     0.584,   832.372,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    226,     51.000,   419.505,   133.000,     1.593,   385.211,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    227,     51.000,   246.389,   136.000,     0.190,   359.303,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    228,     51.000,   485.970,   134.000,     1.507,   389.591,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    229,     54.000,    83.476,   156.000,     0.131,    93.886,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    230,     59.000,    32.303,   165.000,     1.065,    10.963,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    231,     52.000,    28.155,   145.000,     0.448,   185.979,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    232,     54.000,   280.138,   154.000,     0.689,   132.412,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    233,     54.000,    81.830,   121.000,     0.611,   243.566,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    234,     52.000,    34.233,   125.000,     0.373,   263.416,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    235,     50.000,   387.524,   140.000,     0.484,   337.895,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    236,     54.000,   413.446,   158.000,     1.847,   178.258,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    237,     50.000,   212.196,   137.000,     1.987,   351.101,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    238,     50.000,   228.994,   144.000,     1.759,   307.705,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    239,     55.000,   179.126,   161.000,     0.756,   111.064,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    240,     51.000,   195.509,   155.000,     0.300,   205.820,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    241,     51.000,    45.699,   137.000,     1.503,   358.575,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    242,     55.000,   124.063,   153.000,     0.766,    28.377,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    243,     52.000,    52.322,   159.000,     0.393,   184.040,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    244,     54.000,    37.402,   158.000,     1.085,   151.900,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    245,     53.000,   434.632,   162.000,     1.938,    95.050,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    246,     56.000,   303.037,   158.000,     0.514,    57.775,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    247,     55.000,   214.404,   167.000,     1.584,   153.020,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    248,     56.000,   418.188,   167.000,     0.592,    99.800,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    249,     50.000,   390.236,   121.000,     0.383,   244.014,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    250,     51.000,   443.443,   145.000,     0.698,   166.346,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    251,     52.000,   318.644,   161.000,     0.408,   159.139,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    252,     50.000,    24.038,   146.000,     0.680,   304.057,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    253,     51.000,   285.663,   150.000,     1.149,   240.061,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    254,     54.000,   142.185,   157.000,     1.195,   121.741,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    255,     52.000,    80.584,   157.000,     0.425,   319.239,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    256,     54.000,    67.909,   160.000,     1.202,   145.380,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    257,     54.000,    64.473,   161.000,     1.924,   217.319,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    258,     51.000,   488.365,   146.000,     0.063,   192.611,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    259,     50.000,   112.230,   144.000,     1.929,   320.195,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    260,     53.000,   237.264,   161.000,     0.607,   169.248,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    261,     56.000,    24.325,   168.000,     0.590,   162.373,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    262,     53.000,   193.861,   164.000,     1.718,   174.015,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    263,     50.000,   299.444,   123.000,     0.942,   231.946,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    264,     55.000,   178.709,   157.000,     1.550,    64.537,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    265,     51.000,   145.909,   152.000,     0.661,   279.370,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    266,     53.000,   290.931,   162.000,     0.479,   220.500,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    267,     52.000,   491.493,   154.000,     1.210,    57.917,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    268,     49.000,   224.478,   146.000,     1.855,   221.229,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    269,     52.000,   199.714,   119.000,     1.205,   191.044,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    270,     55.000,   204.325,   159.000,     0.491,    16.743,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    271,     54.000,    46.907,   161.000,     0.057,   128.975,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    272,     53.000,   178.901,   126.000,     0.927,   254.181,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    273,     52.000,    77.629,   124.000,     1.475,   291.101,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    274,     51.000,   218.326,   158.000,     0.077,   180.467,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    275,     52.000,   120.342,   159.000,     0.762,   155.984,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    276,     49.000,   300.173,   143.000,     1.046,   220.281,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    277,     53.000,    43.809,   160.000,     1.346,   216.337,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    278,     56.000,   401.733,   168.000,     1.285,   199.048,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    279,     49.000,   237.041,   144.000,     1.778,   247.468,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    280,     51.000,   313.162,   124.000,     0.417,   282.806,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    281,     50.000,   424.449,   120.000,     0.968,   173.653,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    282,     54.000,   222.978,   122.000,     0.329,   266.144,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    283,     53.000,   212.442,   162.000,     1.480,   169.770,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    284,     53.000,   470.760,   163.000,     0.049,   191.197,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    285,     55.000,   121.820,   168.000,     1.614,    99.043,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    286,     53.000,     0.507,   154.000,     1.247,   105.365,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    287,     51.000,   470.626,   159.000,     1.069,   206.172,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    288,     59.000,   114.754,   168.000,     0.674,     7.050,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    289,     51.000,    14.667,   153.000,     1.142,   248.372,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    290,     50.000,   211.240,   124.000,     1.513,   200.800,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    291,     53.000,   197.446,   162.000,     1.598,   191.085,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    292,     49.000,   448.878,   141.000,     1.764,   259.204,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    293,     50.000,   377.677,   121.000,     1.429,   233.430,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    294,     51.000,   253.065,   152.000,     1.606,   272.050,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    295,     51.000,   388.677,   125.000,     0.706,   278.455,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    296,     50.000,   396.629,   151.000,     1.440,   228.436,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    297,     50.000,   297.344,   124.000,     1.055,   291.744,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    298,     51.000,   388.507,   119.000,     1.557,   213.344,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    299,     51.000,   163.103,   124.000,     1.571,   265.719,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    300,     58.000,   299.876,   167.000,     0.592,   132.417,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    301,     51.000,    96.869,   121.000,     1.816,   328.612,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    302,     51.000,   364.240,   124.000,     1.776,   214.206,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    303,     51.000,   157.086,   123.000,     0.358,   357.818,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    304,     54.000,   370.265,   125.000,     0.228,   243.470,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    305,     51.000,   294.437,   120.000,     0.866,   251.788,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    306,     49.000,   101.988,   133.000,     1.913,   336.082,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    307,     53.000,   190.546,   126.000,     0.294,   286.811,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    308,     51.000,   446.562,   125.000,     0.769,   285.436,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    309,     58.000,   177.902,   116.000,     0.146,   216.042,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    310,     55.000,   211.132,   125.000,     0.810,   256.400,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    311,     60.000,   337.270,   118.000,     0.628,   192.454,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    312,     51.000,   127.883,   122.000,     1.349,   357.496,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    313,     50.000,   171.449,   126.000,     1.189,   256.318,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    314,     52.000,    56.928,   124.000,     1.856,   294.183,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    315,     61.000,    49.193,   106.000,     1.168,   211.146,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    316,     61.000,     0.000,   100.000,     0.000,  1038.410,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    317,     61.000,     0.000,   100.000,     0.400,  1038.410,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    318,     61.000,     0.000,   100.000,     0.800,  1038.410,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    319,     61.000,     0.000,   100.000,     1.200,  1038.410,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    320,     61.000,     0.000,   100.000,     1.600,  1038.410,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    321,     61.000,     0.000,   101.000,     0.000,  1032.325,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    322,     61.000,     0.000,   101.000,     0.400,  1032.325,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    323,     61.000,     0.000,   101.000,     0.800,  1032.325,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    324,     61.000,     0.000,   101.000,     1.200,  1032.325,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    325,     61.000,     0.000,   101.000,     1.600,  1032.325,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    326,     61.000,     0.000,   102.000,     0.000,  1024.010,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    327,     61.000,     0.000,   102.000,     0.400,  1024.010,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    328,     61.000,     0.000,   102.000,     0.800,  1024.010,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    329,     61.000,     0.000,   102.000,     1.200,  1024.010,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    330,     61.000,     0.000,   102.000,     1.600,  1024.010,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    331,     61.000,     0.000,   103.000,     0.000,  1012.260,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    332,     61.000,     0.000,   103.000,     0.400,  1012.260,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    333,     61.000,     0.000,   103.000,     0.800,  1012.260,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    334,     61.000,     0.000,   103.000,     1.200,  1012.260,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    335,     61.000,     0.000,   103.000,     1.600,  1012.260,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    336,     61.000,     0.000,   104.000,     0.000,   998.735,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    337,     61.000,     0.000,   104.000,     0.400,   998.735,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    338,     61.000,     0.000,   104.000,     0.800,   998.735,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    339,     61.000,     0.000,   104.000,     1.200,   998.735,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    340,     61.000,     0.000,   104.000,     1.600,   998.735,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    341,     61.000,     0.000,   105.000,     0.000,   984.330,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    342,     61.000,     0.000,   105.000,     0.400,   984.330,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    343,     61.000,     0.000,   105.000,     0.800,   984.330,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    344,     61.000,     0.000,   105.000,     1.200,   984.330,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    345,     61.000,     0.000,   105.000,     1.600,   984.330,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    346,     61.000,     0.000,   106.000,     0.000,   969.610,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    347,     61.000,     0.000,   106.000,     0.400,   969.610,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    348,     61.000,     0.000,   106.000,     0.800,   969.610,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    349,     61.000,     0.000,   106.000,     1.200,   969.610,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    350,     61.000,     0.000,   106.000,     1.600,   969.610,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    351,     61.000,     0.000,   107.000,     0.000,   954.565,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    352,     61.000,     0.000,   107.000,     0.400,   954.565,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    353,     61.000,     0.000,   107.000,     0.800,   954.565,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    354,     61.000,     0.000,   107.000,     1.200,   954.565,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    355,     61.000,     0.000,   107.000,     1.600,   954.565,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    356,     61.000,     0.000,   108.000,     0.000,   939.760,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    357,     61.000,     0.000,   108.000,     0.400,   939.760,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    358,     61.000,     0.000,   108.000,     0.800,   939.760,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    359,     61.000,     0.000,   108.000,     1.200,   939.760,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    360,     61.000,     0.000,   108.000,     1.600,   939.760,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    361,     61.000,     0.000,   109.000,     0.000,   925.240,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    362,     61.000,     0.000,   109.000,     0.400,   925.240,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    363,     61.000,     0.000,   109.000,     0.800,   925.240,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    364,     61.000,     0.000,   109.000,     1.200,   925.240,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    365,     61.000,     0.000,   109.000,     1.600,   925.240,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    366,     61.000,     0.000,   110.000,     0.000,   910.735,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    367,     61.000,     0.000,   110.000,     0.400,   910.735,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    368,     61.000,     0.000,   110.000,     0.800,   910.735,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    369,     61.000,     0.000,   110.000,     1.200,   910.735,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    370,     61.000,     0.000,   110.000,     1.600,   910.735,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    371,     61.000,     0.000,   111.000,     0.000,   895.925,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    372,     61.000,     0.000,   111.000,     0.400,   895.925,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    373,     61.000,     0.000,   111.000,     0.800,   895.925,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    374,     61.000,     0.000,   111.000,     1.200,   895.925,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    375,     61.000,     0.000,   111.000,     1.600,   895.925,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    376,     61.000,     0.000,   112.000,     0.000,   880.755,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    377,     61.000,     0.000,   112.000,     0.400,   880.755,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    378,     61.000,     0.000,   112.000,     0.800,   880.755,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    379,     61.000,     0.000,   112.000,     1.200,   880.755,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    380,     61.000,     0.000,   112.000,     1.600,   880.755,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    381,     61.000,     0.000,   113.000,     0.000,   866.125,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    382,     61.000,     0.000,   113.000,     0.400,   866.125,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    383,     61.000,     0.000,   113.000,     0.800,   866.125,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    384,     61.000,     0.000,   113.000,     1.200,   866.125,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    385,     61.000,     0.000,   113.000,     1.600,   866.125,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    386,     61.000,     0.000,   114.000,     0.000,   851.600,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    387,     61.000,     0.000,   114.000,     0.400,   851.600,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    388,     61.000,     0.000,   114.000,     0.800,   851.600,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    389,     61.000,     0.000,   114.000,     1.200,   851.600,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    390,     61.000,     0.000,   114.000,     1.600,   851.600,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    391,     61.000,     0.000,   115.000,     0.000,   837.005,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    392,     61.000,     0.000,   115.000,     0.400,   837.005,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    393,     61.000,     0.000,   115.000,     0.800,   837.005,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    394,     61.000,     0.000,   115.000,     1.200,   837.005,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    395,     61.000,     0.000,   115.000,     1.600,   837.005,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    396,     61.000,     0.000,   116.000,     0.000,   822.020,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    397,     61.000,     0.000,   116.000,     0.400,   822.020,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    398,     61.000,     0.000,   116.000,     0.800,   822.020,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    399,     61.000,     0.000,   116.000,     1.200,   822.020,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    400,     61.000,     0.000,   116.000,     1.600,   822.020,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    401,     61.000,     0.000,   117.000,     0.000,   807.495,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    402,     61.000,     0.000,   117.000,     0.400,   807.495,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    403,     61.000,     0.000,   117.000,     0.800,   807.495,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    404,     61.000,     0.000,   117.000,     1.200,   807.495,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    405,     61.000,     0.000,   117.000,     1.600,   807.495,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    406,     61.000,     0.000,   118.000,     0.000,   793.320,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    407,     61.000,     0.000,   118.000,     0.400,   793.320,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    408,     61.000,     0.000,   118.000,     0.800,   793.320,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    409,     61.000,     0.000,   118.000,     1.200,   793.320,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    410,     61.000,     0.000,   118.000,     1.600,   793.320,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    411,     61.000,     0.000,   119.000,     0.000,   779.355,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    412,     61.000,     0.000,   119.000,     0.400,   779.355,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
    413,     61.000,     0.000,   119.000,     0.800,   779.355,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4394.5000
