                    JDAY,WB,VOLIN(m3),VOLPR(m3),VOLOUT(m3),VOLWD(m3),VOLEV(m3),VOLDT(m3),VOLTRB(m3),VOLICE(m3),%VOLerror
 40574.000,   1,  0.82058319E+10,   0.00000000E+00,  -0.83000304E+10,   0.00000000E+00,   0.00000000E+00,   0.10392099E+09,   0.00000000E+00,   0.00000000E+00,  -0.12698435E-08,
 40574.999,   1,  0.85233101E+10,   0.00000000E+00,  -0.86254144E+10,   0.00000000E+00,   0.00000000E+00,   0.11360400E+09,   0.00000000E+00,   0.00000000E+00,  -0.13213571E-08,
 40576.000,   1,  0.88557174E+10,   0.00000000E+00,  -0.89812151E+10,   0.00000000E+00,   0.00000000E+00,   0.13464923E+09,   0.00000000E+00,   0.00000000E+00,  -0.15140745E-08,
 40577.000,   1,  0.92102457E+10,   0.00000000E+00,  -0.93338091E+10,   0.00000000E+00,   0.00000000E+00,   0.13052176E+09,   0.00000000E+00,   0.00000000E+00,  -0.14529088E-08,
 40577.999,   1,  0.95792403E+10,   0.00000000E+00,  -0.96903644E+10,   0.00000000E+00,   0.00000000E+00,   0.12368332E+09,   0.00000000E+00,   0.00000000E+00,  -0.13722472E-08,
 40579.000,   1,  0.99441059E+10,   0.00000000E+00,  -0.10024516E+11,   0.00000000E+00,   0.00000000E+00,   0.98881739E+08,   0.00000000E+00,   0.00000000E+00,  -0.25070352E-09,
 40580.000,   1,  0.10260190E+11,   0.00000000E+00,  -0.10318061E+11,   0.00000000E+00,   0.00000000E+00,   0.76162005E+08,   0.00000000E+00,   0.00000000E+00,   0.76067054E-09,
 40581.000,   1,  0.10511481E+11,   0.00000000E+00,  -0.10575314E+11,   0.00000000E+00,   0.00000000E+00,   0.75968405E+08,   0.00000000E+00,   0.00000000E+00,   0.20478066E-08,
 40582.000,   1,  0.10765638E+11,   0.00000000E+00,  -0.10844878E+11,   0.00000000E+00,   0.00000000E+00,   0.90058500E+08,   0.00000000E+00,   0.00000000E+00,   0.41365793E-08,
 40582.999,   1,  0.11045188E+11,   0.00000000E+00,  -0.11157889E+11,   0.00000000E+00,   0.00000000E+00,   0.12383828E+09,   0.00000000E+00,   0.00000000E+00,   0.42026988E-08,
 40583.999,   1,  0.11346856E+11,   0.00000000E+00,  -0.11503422E+11,   0.00000000E+00,   0.00000000E+00,   0.17055180E+09,   0.00000000E+00,   0.00000000E+00,   0.35032136E-08,
 40585.000,   1,  0.11708920E+11,   0.00000000E+00,  -0.11896601E+11,   0.00000000E+00,   0.00000000E+00,   0.20605266E+09,   0.00000000E+00,   0.00000000E+00,   0.18927247E-08,
 40585.999,   1,  0.12109529E+11,   0.00000000E+00,  -0.12308099E+11,   0.00000000E+00,   0.00000000E+00,   0.21392088E+09,   0.00000000E+00,   0.00000000E+00,   0.16270873E-08,
 40587.000,   1,  0.12510948E+11,   0.00000000E+00,  -0.12692195E+11,   0.00000000E+00,   0.00000000E+00,   0.19418516E+09,   0.00000000E+00,   0.00000000E+00,   0.24076827E-08,
 40588.000,   1,  0.12897946E+11,   0.00000000E+00,  -0.13058256E+11,   0.00000000E+00,   0.00000000E+00,   0.17385792E+09,   0.00000000E+00,   0.00000000E+00,   0.45527849E-08,
 40588.999,   1,  0.13264327E+11,   0.00000000E+00,  -0.13422894E+11,   0.00000000E+00,   0.00000000E+00,   0.17812496E+09,   0.00000000E+00,   0.00000000E+00,   0.34131855E-08,
 40589.999,   1,  0.13631229E+11,   0.00000000E+00,  -0.13799665E+11,   0.00000000E+00,   0.00000000E+00,   0.19283760E+09,   0.00000000E+00,   0.00000000E+00,   0.32645661E-08,
 40590.999,   1,  0.13976184E+11,   0.00000000E+00,  -0.14142014E+11,   0.00000000E+00,   0.00000000E+00,   0.18201790E+09,   0.00000000E+00,   0.00000000E+00,   0.49005777E-08,
 40591.999,   1,  0.14292071E+11,   0.00000000E+00,  -0.14440943E+11,   0.00000000E+00,   0.00000000E+00,   0.15609590E+09,   0.00000000E+00,   0.00000000E+00,   0.80590505E-08,
 40593.000,   1,  0.14603104E+11,   0.00000000E+00,  -0.14746691E+11,   0.00000000E+00,   0.00000000E+00,   0.15343906E+09,   0.00000000E+00,   0.00000000E+00,   0.64865205E-08,
 40593.999,   1,  0.14918972E+11,   0.00000000E+00,  -0.15066104E+11,   0.00000000E+00,   0.00000000E+00,   0.16420754E+09,   0.00000000E+00,   0.00000000E+00,   0.34053172E-08,
 40594.999,   1,  0.15229076E+11,   0.00000000E+00,  -0.15387745E+11,   0.00000000E+00,   0.00000000E+00,   0.17762140E+09,   0.00000000E+00,   0.00000000E+00,   0.33301311E-08,
 40595.999,   1,  0.15544168E+11,   0.00000000E+00,  -0.15715846E+11,   0.00000000E+00,   0.00000000E+00,   0.18819765E+09,   0.00000000E+00,   0.00000000E+00,   0.26635958E-08,
 40596.999,   1,  0.15885864E+11,   0.00000000E+00,  -0.16064010E+11,   0.00000000E+00,   0.00000000E+00,   0.19628030E+09,   0.00000000E+00,   0.00000000E+00,   0.30799390E-08,
 40597.999,   1,  0.16241158E+11,   0.00000000E+00,  -0.16433258E+11,   0.00000000E+00,   0.00000000E+00,   0.21459622E+09,   0.00000000E+00,   0.00000000E+00,   0.22841882E-08,
 40599.000,   1,  0.16589668E+11,   0.00000000E+00,  -0.16795776E+11,   0.00000000E+00,   0.00000000E+00,   0.22296563E+09,   0.00000000E+00,   0.00000000E+00,   0.23013087E-08,
 40600.000,   1,  0.16930213E+11,   0.00000000E+00,  -0.17134511E+11,   0.00000000E+00,   0.00000000E+00,   0.22006993E+09,   0.00000000E+00,   0.00000000E+00,   0.31397898E-08,
 40601.000,   1,  0.17284184E+11,   0.00000000E+00,  -0.17490888E+11,   0.00000000E+00,   0.00000000E+00,   0.22717962E+09,   0.00000000E+00,   0.00000000E+00,   0.37630060E-08,
 40602.000,   1,  0.17642785E+11,   0.00000000E+00,  -0.17858649E+11,   0.00000000E+00,   0.00000000E+00,   0.23373230E+09,   0.00000000E+00,   0.00000000E+00,   0.25953935E-08,
 40603.000,   1,  0.18001388E+11,   0.00000000E+00,  -0.18209636E+11,   0.00000000E+00,   0.00000000E+00,   0.22122891E+09,   0.00000000E+00,   0.00000000E+00,   0.58057235E-08,
 40604.000,   1,  0.18359335E+11,   0.00000000E+00,  -0.18555226E+11,   0.00000000E+00,   0.00000000E+00,   0.21141196E+09,   0.00000000E+00,   0.00000000E+00,   0.48013408E-08,
 40604.999,   1,  0.18693137E+11,   0.00000000E+00,  -0.18896297E+11,   0.00000000E+00,   0.00000000E+00,   0.22326565E+09,   0.00000000E+00,   0.00000000E+00,   0.58478778E-08,
 40605.999,   1,  0.19021446E+11,   0.00000000E+00,  -0.19235726E+11,   0.00000000E+00,   0.00000000E+00,   0.23542822E+09,   0.00000000E+00,   0.00000000E+00,   0.59909267E-08,
 40607.000,   1,  0.19359588E+11,   0.00000000E+00,  -0.19578479E+11,   0.00000000E+00,   0.00000000E+00,   0.24055279E+09,   0.00000000E+00,   0.00000000E+00,   0.76483399E-08,
 40608.000,   1,  0.19687336E+11,   0.00000000E+00,  -0.19902878E+11,   0.00000000E+00,   0.00000000E+00,   0.23531001E+09,   0.00000000E+00,   0.00000000E+00,   0.72758345E-08,
 40609.000,   1,  0.19998677E+11,   0.00000000E+00,  -0.20209846E+11,   0.00000000E+00,   0.00000000E+00,   0.22916790E+09,   0.00000000E+00,   0.00000000E+00,   0.73724946E-08,
 40610.000,   1,  0.20305456E+11,   0.00000000E+00,  -0.20513798E+11,   0.00000000E+00,   0.00000000E+00,   0.22608599E+09,   0.00000000E+00,   0.00000000E+00,   0.80175240E-08,
 40611.000,   1,  0.20615406E+11,   0.00000000E+00,  -0.20823461E+11,   0.00000000E+00,   0.00000000E+00,   0.22815249E+09,   0.00000000E+00,   0.00000000E+00,   0.61302246E-08,
 40612.000,   1,  0.20931759E+11,   0.00000000E+00,  -0.21151261E+11,   0.00000000E+00,   0.00000000E+00,   0.24403681E+09,   0.00000000E+00,   0.00000000E+00,   0.41080582E-08,
 40613.000,   1,  0.21260265E+11,   0.00000000E+00,  -0.21489381E+11,   0.00000000E+00,   0.00000000E+00,   0.25437670E+09,   0.00000000E+00,   0.00000000E+00,   0.28851689E-08,
 40613.999,   1,  0.21593893E+11,   0.00000000E+00,  -0.21832175E+11,   0.00000000E+00,   0.00000000E+00,   0.26003910E+09,   0.00000000E+00,   0.00000000E+00,   0.40210376E-08,
 40615.000,   1,  0.21927213E+11,   0.00000000E+00,  -0.22179427E+11,   0.00000000E+00,   0.00000000E+00,   0.27426174E+09,   0.00000000E+00,   0.00000000E+00,   0.60408955E-08,
 40615.999,   1,  0.22242377E+11,   0.00000000E+00,  -0.22495477E+11,   0.00000000E+00,   0.00000000E+00,   0.27201624E+09,   0.00000000E+00,   0.00000000E+00,   0.67690318E-08,
 40617.000,   1,  0.22550914E+11,   0.00000000E+00,  -0.22794901E+11,   0.00000000E+00,   0.00000000E+00,   0.26009414E+09,   0.00000000E+00,   0.00000000E+00,   0.84900236E-08,
 40618.000,   1,  0.22870991E+11,   0.00000000E+00,  -0.23107528E+11,   0.00000000E+00,   0.00000000E+00,   0.25630174E+09,   0.00000000E+00,   0.00000000E+00,   0.79125098E-08,
 40618.999,   1,  0.23179764E+11,   0.00000000E+00,  -0.23407384E+11,   0.00000000E+00,   0.00000000E+00,   0.25121581E+09,   0.00000000E+00,   0.00000000E+00,   0.65939195E-08,
 40620.000,   1,  0.23468800E+11,   0.00000000E+00,  -0.23675417E+11,   0.00000000E+00,   0.00000000E+00,   0.22781339E+09,   0.00000000E+00,   0.00000000E+00,   0.86444893E-08,
 40621.000,   1,  0.23728090E+11,   0.00000000E+00,  -0.23925604E+11,   0.00000000E+00,   0.00000000E+00,   0.21337483E+09,   0.00000000E+00,   0.00000000E+00,   0.11171633E-07,
 40622.000,   1,  0.23949383E+11,   0.00000000E+00,  -0.24147237E+11,   0.00000000E+00,   0.00000000E+00,   0.20995054E+09,   0.00000000E+00,   0.00000000E+00,   0.13816934E-07,
 40622.999,   1,  0.24183038E+11,   0.00000000E+00,  -0.24365335E+11,   0.00000000E+00,   0.00000000E+00,   0.19600890E+09,   0.00000000E+00,   0.00000000E+00,   0.10723072E-07,
 40624.000,   1,  0.24422432E+11,   0.00000000E+00,  -0.24628429E+11,   0.00000000E+00,   0.00000000E+00,   0.22341222E+09,   0.00000000E+00,   0.00000000E+00,   0.97788364E-08,
