$TDA Elev-Tailwater CBT-REV [m=>ft NAVD88],,
CY2011-2015,,12/31/2010
JDAY,ElevFT,
41119,82.74934638,
41120,82.5295301,
41121,82.4803175,
41122,83.52034378,
41123,83.0216561,
41124,82.19160358,
41125,81.85039622,
41126,81.80118362,
41127,80.89239094,
41128,81.2500025,
41129,81.45997626,
41130,80.8398975,
41131,81.26968754,
41132,80.83005498,
41133,82.22113114,
41134,82.17191854,
41135,81.36155106,
41136,80.16076362,
41137,80.36089486,
41138,79.67191846,
41139,80.73162978,
41140,81.2007899,
41141,81.21063242,
41142,81.37139358,
41143,81.21063242,
41144,81.8897663,
41145,81.21063242,
41146,81.24015998,
41147,80.53149854,
41148,79.95078986,
41149,80.11155102,
41150,79.22244338,
41151,79.52099982,
41152,79.4619447,
41153,81.04002874,
41154,81.65026498,
41155,80.19029118,
41156,79.40945126,
41157,79.98031742,
41158,80.64960878,
41159,81.1023647,
41160,79.5111573,
41161,79.7900287,
41162,79.39960874,
41163,79.52099982,
41164,79.80971374,
41165,80.07218094,
41166,78.9698187,
41167,79.4619447,
41168,79.9704749,
41169,79.34055362,
41170,78.75000242,
41171,79.2322859,
41172,80.00000246,
41173,79.2814985,
41174,79.86220718,
41175,80.26246966,
41176,79.98031742,
41177,79.09120978,
41178,79.08136726,
41179,79.35039614,
41180,79.03215466,
41181,79.98031742,
41182,79.98031742,
41183,79.85236466,
41184,79.45210218,
41185,79.26181346,
41186,79.52099982,
41187,79.34055362,
41188,79.02231214,
41189,79.08136726,
41190,79.09120978,
41191,79.44225966,
41192,79.7900287,
41193,79.7900287,
41194,79.49147226,
41195,79.37008118,
41196,79.41929378,
41197,79.11089482,
41198,79.36023866,
41199,79.6423909,
41200,79.49147226,
41201,79.2814985,
41202,79.17979246,
41203,79.57021242,
41204,79.44225966,
41205,80.03937254,
41206,79.79987122,
41207,79.98031742,
41208,80.16076362,
41209,80.35105234,
41210,79.5603699,
41211,79.90157726,
41212,80.40026494,
41213,80.13123606,
41214,79.08136726,
41215,78.50065858,
41216,79.1502649,
41217,78.86155098,
41218,79.16994994,
41219,78.44160346,
41220,78.73031738,
41221,78.4120759,
41222,78.6417347,
41223,79.14042238,
41224,79.55052738,
41225,79.41929378,
41226,79.8720497,
41227,79.58005494,
41228,79.35039614,
41229,78.58924126,
41230,79.08136726,
41231,78.30052734,
41232,79.30118354,
41233,79.71128854,
41234,78.93044862,
41235,78.95013366,
41236,78.81233838,
41237,78.76968746,
41238,78.56955622,
41239,78.31036986,
41240,78.54987118,
41241,79.08136726,
41242,78.7893725,
41243,78.42191842,
41244,78.71063234,
41245,78.97966122,
41246,79.37008118,
41247,79.32086858,
41248,79.67191846,
41249,80.41994998,
41250,80.50197098,
41251,80.9219185,
41252,81.19094738,
41253,80.95144606,
41254,79.89173474,
41255,80.23950378,
41256,81.23031746,
41257,81.63057994,
41258,82.03084242,
41259,81.5124697,
41260,80.1509211,
41261,80.40026494,
41262,81.73228598,
41263,80.16076362,
41264,79.4619447,
41265,80.34120982,
41266,80.5610261,
41267,79.75065862,
41268,80.02953002,
41269,78.86155098,
41270,79.09120978,
41271,79.90157726,
41272,79.95078986,
41273,81.18110486,
41274,81.0695563,
41275,80.23950378,
41276,80.62992374,
41277,81.0203437,
41278,80.37073738,
41279,80.22966126,
41280,79.79987122,
41281,79.52099982,
41282,79.68176098,
41283,80.45932006,
41284,81.90945134,
41285,81.55183978,
41286,80.80052742,
41287,81.16141982,
41288,80.3805799,
41289,80.6922597,
41290,81.45997626,
41291,81.83071118,
41292,80.60039618,
41293,80.23950378,
41294,80.82021246,
41295,80.64960878,
41296,81.37139358,
41297,81.77165606,
41298,81.42060618,
41299,81.00065866,
41300,81.2992151,
41301,80.14107858,
41302,79.96063238,
41303,80.89239094,
41304,80.64960878,
41305,80.85958254,
41306,81.21063242,
41307,79.80971374,
41308,79.89173474,
41309,79.62926754,
41310,79.70144602,
41311,79.40945126,
41312,79.35039614,
41313,79.7408161,
41314,79.96063238,
41315,80.63976626,
41316,80.53149854,
41317,80.20997622,
41318,80.41010746,
41319,80.44947754,
41320,79.67191846,
41321,79.59973998,
41322,79.4619447,
41323,79.82939878,
41324,79.65223342,
41325,79.49147226,
41326,80.1017085,
41327,79.65223342,
41328,79.52099982,
41329,79.3307111,
41330,78.68110478,
41331,79.06168222,
41332,78.90092106,
41333,78.7893725,
41334,79.44225966,
41335,79.6095825,
41336,80.13123606,
41337,80.34120982,
41338,81.01050118,
41339,79.9704749,
41340,79.91141978,
41341,79.6423909,
41342,78.6909473,
41343,79.48162974,
41344,79.6916035,
41345,79.09120978,
41346,79.2322859,
41347,79.44225966,
41348,79.3307111,
41349,79.06168222,
41350,78.70078982,
41351,78.65157722,
41352,79.4619447,
41353,80.09186598,
41354,79.47178722,
41355,80.07218094,
41356,80.7414723,
41357,80.47244342,
41358,79.71128854,
41359,79.7408161,
41360,79.24212842,
41361,79.73097358,
41362,79.86220718,
41363,79.7900287,
41364,80.60039618,
41365,80.09186598,
41366,79.77034366,
41367,79.55052738,
41368,80.64960878,
41369,81.4796613,
41370,82.2998713,
41371,83.10039626,
41372,84.10105246,
41373,84.08136742,
41374,84.1699501,
41375,83.55971386,
41376,84.04199734,
41377,84.91141994,
41378,82.67060622,
41379,83.10039626,
41380,84.08136742,
41381,84.08136742,
41382,82.8904225,
41383,82.49016002,
41384,81.54199726,
41385,82.16207602,
41386,82.4311049,
41387,82.78215478,
41388,81.42060618,
41389,80.89239094,
41390,81.32218098,
41391,82.21128862,
41392,82.50984506,
41393,82.85105242,
41394,82.49016002,
41395,82.67060622,
41396,82.67060622,
41397,81.7421285,
41398,82.32939886,
41399,82.06036998,
41400,81.36155106,
41401,81.52231222,
41402,81.8897663,
41403,82.39173482,
41404,82.7099763,
41405,84.8917349,
41406,86.82086882,
41407,87.03084258,
41408,85.79068506,
41409,85.97113126,
41410,86.2204751,
41411,86.24016014,
41412,84.68176114,
41413,86.15157746,
41414,85.75131498,
41415,84.91141994,
41416,84.32086874,
41417,83.83202358,
41418,85.06233858,
41419,84.2519711,
41420,84.1207375,
41421,84.49147242,
41422,84.37008134,
41423,84.13058002,
41424,83.49081622,
41425,83.13976634,
41426,82.95932014,
41427,82.17191854,
41428,80.87926758,
41429,83.3005275,
41430,82.2506587,
41431,82.80183982,
41432,83.29068498,
41433,82.71981882,
41434,82.77231226,
41435,82.8412099,
41436,82.77231226,
41437,81.4304487,
41438,82.35236474,
41439,83.01181358,
41440,82.60170858,
41441,82.2506587,
41442,81.40092114,
41443,80.99081614,
41444,81.42060618,
41445,81.04987126,
41446,81.2992151,
41447,81.46981878,
41448,82.37204978,
41449,82.95932014,
41450,82.82152486,
41451,83.08071122,
41452,83.18241726,
41453,83.0708687,
41454,82.67060622,
41455,84.31102622,
41456,83.52034378,
41457,84.11089498,
41458,84.45210234,
41459,84.4816299,
41460,85.00000262,
41461,84.13058002,
41462,82.68044874,
41463,82.2998713,
41464,82.54921514,
41465,81.21063242,
41466,80.85958254,
41467,81.00065866,
41468,80.50197098,
41469,81.42060618,
41470,81.07939882,
41471,81.42060618,
41472,80.70210222,
41473,80.87926758,
41474,80.73162978,
41475,81.07939882,
41476,82.09974006,
41477,81.53215474,
41478,81.68963506,
41479,80.16076362,
41480,79.65223342,
41481,80.54134106,
41482,81.81102614,
41483,81.05971378,
41484,80.78084238,
41485,80.43963502,
41486,80.91207598,
41487,81.05971378,
41488,81.82086866,
41489,80.78084238,
41490,80.2821547,
41491,80.39042242,
41492,80.41010746,
41493,80.78084238,
41494,80.73162978,
41495,79.85236466,
41496,80.49212846,
41497,81.32218098,
41498,79.57021242,
41499,79.29134102,
41500,80.95144606,
41501,81.04987126,
41502,79.65223342,
41503,80.11155102,
41504,80.23950378,
41505,80.02953002,
41506,79.88189222,
41507,80.21981874,
41508,79.66207594,
41509,79.32086858,
41510,79.36023866,
41511,79.07152474,
41512,79.14042238,
41513,79.66207594,
41514,79.88189222,
41515,80.20997622,
41516,80.27231218,
41517,80.48228594,
41518,80.20997622,
41519,79.67191846,
41520,79.5111573,
41521,79.48162974,
41522,79.59973998,
41523,79.7900287,
41524,80.04921506,
41525,79.86220718,
41526,79.75065862,
41527,79.73097358,
41528,80.48228594,
41529,80.64960878,
41530,80.2493463,
41531,80.91207598,
41532,80.22966126,
41533,79.54068486,
41534,79.04199718,
41535,80.11155102,
41536,79.39960874,
41537,79.4619447,
41538,79.61942502,
41539,79.40945126,
41540,78.98950374,
41541,79.82939878,
41542,79.38976622,
41543,79.94094734,
41544,79.72113106,
41545,79.53084234,
41546,79.59973998,
41547,79.8392413,
41548,79.39960874,
41549,79.98031742,
41550,80.49212846,
41551,80.04921506,
41552,79.5111573,
41553,78.90092106,
41554,78.5597137,
41555,78.32021238,
41556,78.81233838,
41557,79.39960874,
41558,79.39960874,
41559,80.06233842,
41560,79.65223342,
41561,79.2322859,
41562,78.81233838,
41563,78.66141974,
41564,79.03215466,
41565,79.70144602,
41566,78.63189218,
41567,77.29002862,
41568,77.3622071,
41569,77.94947746,
41570,77.8707373,
41571,78.2808423,
41572,77.49015986,
41573,77.63123598,
41574,77.68044858,
41575,76.98162966,
41576,77.97244334,
41577,78.34973994,
41578,77.54921498,
41579,77.57218086,
41580,78.1003961,
41581,79.25197094,
41582,79.04199718,
41583,79.68176098,
41584,79.1502649,
41585,78.89107854,
41586,78.12992366,
41587,78.30052734,
41588,78.43176094,
41589,79.11089482,
41590,79.32086858,
41591,78.54987118,
41592,78.52034362,
41593,78.97966122,
41594,78.8221809,
41595,78.84186594,
41596,78.71063234,
41597,79.07152474,
41598,79.65223342,
41599,79.59973998,
41600,79.59973998,
41601,80.22966126,
41602,79.99015994,
41603,78.60236462,
41604,79.24212842,
41605,79.32086858,
41606,79.54068486,
41607,79.53084234,
41608,79.9212623,
41609,79.14042238,
41610,78.91076358,
41611,79.32086858,
41612,79.57021242,
41613,79.30118354,
41614,79.78018618,
41615,79.06168222,
41616,79.1010523,
41617,79.50131478,
41618,79.48162974,
41619,79.5603699,
41620,79.0518397,
41621,78.60236462,
41622,78.9698187,
41623,79.66207594,
41624,79.61942502,
41625,79.2322859,
41626,79.72113106,
41627,80.1017085,
41628,79.93110482,
41629,80.02953002,
41630,79.70144602,
41631,79.5111573,
41632,79.22244338,
41633,79.80971374,
41634,79.53084234,
41635,79.32086858,
41636,79.30118354,
41637,79.75065862,
41638,79.65223342,
41639,79.50131478,
41640,79.89173474,
41641,79.1502649,
41642,79.14042238,
41643,79.81955626,
41644,79.6423909,
41645,79.14042238,
41646,79.9704749,
41647,80.23950378,
41648,80.08202346,
41649,80.35105234,
41650,81.0203437,
41651,79.82939878,
41652,81.2992151,
41653,80.3805799,
41654,79.72113106,
41655,79.6916035,
41656,80.6922597,
41657,79.75065862,
41658,79.4619447,
41659,79.86220718,
41660,79.89173474,
41661,79.95078986,
41662,79.98031742,
41663,79.71128854,
41664,79.82939878,
41665,79.52099982,
41666,80.04921506,
41667,79.36023866,
41668,79.72113106,
41669,79.81955626,
41670,79.85236466,
41671,80.45932006,
41672,80.58071114,
41673,80.47244342,
41674,80.2001337,
41675,79.99015994,
41676,79.66207594,
41677,79.6095825,
41678,79.93110482,
41679,79.73097358,
41680,79.44225966,
41681,79.65223342,
41682,79.55052738,
41683,79.04199718,
41684,78.98950374,
41685,80.4297925,
41686,81.31233846,
41687,80.47244342,
41688,80.62992374,
41689,80.82021246,
41690,80.4297925,
41691,80.09186598,
41692,79.68176098,
41693,80.35105234,
41694,79.96063238,
41695,79.6916035,
41696,79.41929378,
41697,79.40945126,
41698,80.07218094,
41699,80.06233842,
41700,80.36089486,
41701,80.71194474,
41702,81.14173478,
41703,81.6601075,
41704,81.11220722,
41705,82.87073746,
41706,83.8910787,
41707,84.40945142,
41708,83.8418661,
41709,84.16010758,
41710,85.49212862,
41711,85.62008138,
41712,83.9895039,
41713,83.29068498,
41714,83.65157738,
41715,82.64107866,
41716,83.2021023,
41717,83.29068498,
41718,83.4809737,
41719,83.7598451,
41720,84.2519711,
41721,84.27165614,
41722,83.31037002,
41723,82.33924138,
41724,81.72244346,
41725,82.91995006,
41726,82.92979258,
41727,83.2513149,
41728,82.64107866,
41729,83.51050126,
41730,84.36023882,
41731,83.54987134,
41732,83.77953014,
41733,82.81168234,
41734,82.88057998,
41735,83.63189234,
41736,83.0708687,
41737,82.50984506,
41738,82.82152486,
41739,83.33989758,
41740,83.64173486,
41741,83.1692939,
41742,82.72966134,
41743,82.6607637,
41744,82.1194251,
41745,82.45078994,
41746,83.36942514,
41747,82.69029126,
41748,82.6115511,
41749,83.33989758,
41750,83.65157738,
41751,82.8412099,
41752,82.98228602,
41753,83.46128866,
41754,82.7919973,
41755,83.51050126,
41756,84.38976638,
41757,84.04199734,
41758,83.51050126,
41759,84.16010758,
41760,83.60236478,
41761,82.9396351,
41762,82.60170858,
41763,83.45144614,
41764,83.90092122,
41765,84.57021258,
41766,86.73228614,
41767,85.72178742,
41768,85.52165618,
41769,84.55052754,
41770,83.36942514,
41771,84.52099998,
41772,84.95079002,
41773,84.18963514,
41774,82.73950386,
41775,82.4311049,
41776,83.69094746,
41777,85.7611575,
41778,86.4993465,
41779,87.09974022,
41780,86.88976646,
41781,86.21063258,
41782,85.42979266,
41783,86.47966146,
41784,87.42126254,
41785,87.06037014,
41786,86.4501339,
41787,87.4015775,
41788,87.46063262,
41789,87.03084258,
41790,86.75197118,
41791,86.36155122,
41792,86.43044886,
41793,87.14239114,
41794,86.75197118,
41795,86.10236486,
41796,86.0400289,
41797,86.4501339,
41798,85.65945146,
41799,85.10170866,
41800,84.26181362,
41801,85.0393727,
41802,84.0223123,
41803,83.62204982,
41804,82.91010754,
41805,82.6115511,
41806,81.6601075,
41807,81.57152482,
41808,82.62139362,
41809,83.77953014,
41810,83.10039626,
41811,82.64107866,
41812,82.95932014,
41813,84.37992386,
41814,84.5308425,
41815,83.95997634,
41816,84.17979262,
41817,83.73031754,
41818,83.85170862,
41819,83.51050126,
41820,83.96981886,
41821,84.61942518,
41822,83.96981886,
41823,83.96981886,
41824,83.72047502,
41825,83.67126242,
41826,83.33989758,
41827,81.86023874,
41828,82.9724435,
41829,82.88057998,
41830,82.85105242,
41831,82.36220726,
41832,81.87992378,
41833,83.33989758,
41834,81.7093201,
41835,81.32218098,
41836,81.00065866,
41837,81.44029122,
41838,81.00065866,
41839,81.68963506,
41840,81.53215474,
41841,81.94225974,
41842,81.95210226,
41843,81.18110486,
41844,81.05971378,
41845,81.25984502,
41846,81.96194478,
41847,82.12926762,
41848,82.04068494,
41849,82.19160358,
41850,81.76181354,
41851,81.66995002,
41852,81.82086866,
41853,81.46981878,
41854,81.27953006,
41855,80.95144606,
41856,80.86942506,
41857,80.5118135,
41858,80.57086862,
41859,80.89239094,
41860,81.5616823,
41861,81.90945134,
41862,80.95144606,
41863,80.43963502,
41864,80.78084238,
41865,81.40092114,
41866,80.72178726,
41867,81.0203437,
41868,80.35105234,
41869,79.8720497,
41870,79.6423909,
41871,79.9704749,
41872,79.8392413,
41873,79.79987122,
41874,79.8720497,
41875,79.1502649,
41876,79.25197094,
41877,79.65223342,
41878,79.58005494,
41879,80.02953002,
41880,80.11155102,
41881,80.17060614,
41882,79.4619447,
41883,78.91076358,
41884,78.12992366,
41885,78.09055358,
41886,78.49081606,
41887,79.36023866,
41888,80.3313673,
41889,80.19029118,
41890,79.78018618,
41891,80.09186598,
41892,80.78084238,
41893,80.45932006,
41894,79.61942502,
41895,80.32152478,
41896,80.5118135,
41897,80.19029118,
41898,80.22966126,
41899,80.53149854,
41900,80.44947754,
41901,80.47572426,
41902,80.50197098,
41903,79.6916035,
41904,79.73097358,
41905,80.11155102,
41906,80.60039618,
41907,80.72178726,
41908,80.43963502,
41909,80.00000246,
41910,80.14107858,
41911,79.70144602,
41912,79.09120978,
41913,79.01246962,
41914,79.2322859,
41915,79.45210218,
41916,79.5603699,
41917,79.39960874,
41918,79.89173474,
